playerId,playerName,teamId,leagueEventId,seasonId,stageType,gameMode,opponentId,对手,胜负,playerEnName,number,position,上场时间(秒),上场时间(分钟),scheduleId,gameStart,date,出场次数,首发次数,单场正负值百分位排名,单场正负值,球权使用率百分位排名,球权使用率,真实投篮命中率百分位排名,真实投篮命中率,助攻率百分位排名,助攻率,失误率百分位排名,失误率,抢断率,抢断率百分位排名,盖帽率,盖帽率百分位排名,进攻篮板率,进攻篮板率百分位排名,防守篮板率,防守篮板率百分位排名,防守投篮出手数,防守投篮未命中数,防守投篮被命中数,防守投篮命中率,时间段,_group
32072,吴语桐,1003320453,20005,200406,,2,1003320449,北京大学,2,Wu Yutong,4,SG,400,6.7,200050010977,1,2025-06-06,1,0,,0.28,,0.213187,,0.386598,,0,,0,0,,0,,0.181818,,0,,0,0,0,,Q1,homeTeamPlayerList
40730,李嘉琳,1003320453,20005,200406,,2,1003320449,北京大学,2,Li Jialin,2,SF,254,4.2,200050010977,0,2025-06-06,1,0,,-0.55,,0.128866,,0,,0,,0,0,,0,,0,,0,,1,1,0,0,Q1,homeTeamPlayerList
80514,王镘淋,1003320453,20005,200406,,2,1003320449,北京大学,2,Wang Manlin,9,PG,227,3.8,200050010977,0,2025-06-06,1,0,,2.56,,0.492147,,0.797872,,0,,0,0,,0,,0,,0.5,,0,0,0,,Q1,homeTeamPlayerList
88706,孙楷文,1003320453,20005,200406,,2,1003320449,北京大学,2,Sun Kaiwen,15,C,169,2.8,200050010977,0,2025-06-06,1,0,,-0.28,,0.2,,0,,0,,0,0,,0,,0,,0.2,,0,0,0,,Q1,homeTeamPlayerList
92064,刘琦,1003320453,20005,200406,,2,1003320449,北京大学,2,Liu Qi,6,PF,139,2.3,200050010977,0,2025-06-06,1,0,,0.74,,0.173228,,1.136364,,0,,0,0,,0,,0,,0,,0,0,0,,Q1,homeTeamPlayerList
32005,王家绘,1003320449,20005,200406,,2,1003320453,清华大学,1,Wang Jiahui,11,SF,496,8.3,200050010977,1,2025-06-06,1,0,,-3.7,,0.475915,,0.126904,,0.2,,0.202429,0,,0,,0,,0.181818,,0,0,0,,Q1,awayTeamPlayerList
80546,陈怡静,1003320449,20005,200406,,2,1003320453,清华大学,1,Chen Yijing,21,PF,465,7.8,200050010977,0,2025-06-06,1,0,,2.56,,0.113379,,0.75,,0,,0,0.063966,,0.111111,,0,,0.083333,,3,2,1,0.333333,Q1,awayTeamPlayerList
80550,伍湘琳,1003320449,20005,200406,,2,1003320453,清华大学,1,Wu Xianglin,10,PG,393,6.6,200050010977,1,2025-06-06,1,0,,1.56,,0.384787,,0.436047,,0,,0,0.073002,,0,,0,,0,,1,1,0,0,Q1,awayTeamPlayerList
32012,李若莹,1003320449,20005,200406,,2,1003320453,清华大学,1,Li Ruoying,31,SG,311,5.2,200050010977,0,2025-06-06,1,0,,0.91,,0,,0,,0,,0,0,,0.2,,0,,0.125,,0,0,0,,Q1,awayTeamPlayerList
80548,罗巧梅,1003320449,20005,200406,,2,1003320453,清华大学,1,Luo Qiaomei,7,PG,311,5.2,200050010977,0,2025-06-06,1,0,,2.4,,0.148734,,0.531915,,0.5,,0,0.095568,,0,,0.142857,,0.125,,0,0,0,,Q1,awayTeamPlayerList
