_group,_seasonYear,_season,球员ID,球员姓名,球队ID,赛事ID,赛季ID,stageType,gameMode,opponentId,对手,胜负,球员英文名,球衣号,位置,上场时间(秒),上场时间(分钟),scheduleId,gameStart,date,出场次数,首发次数,单场正负值百分位排名,单场正负值,回合占有率百分位排名,回合占有率,真实命中率百分位排名,真实命中率,助攻率百分位排名,助攻率,失误率百分位排名,失误率,抢断率,抢断率百分位排名,盖帽率,盖帽率百分位排名,进攻篮板率,进攻篮板率百分位排名,防守篮板率,防守篮板率百分位排名,护框尝试频率,护框成功频率,护框失败频率,护框时对手命中率
CUBAL一级联赛,2024,2024-25,30097,钱媛媛,1003320449,20005,200406,,2,2010422541,广西师范大学,1,Qian Yuanyuan,3,PG,1010,16.8,200050010947,1,2025-06-01,1,0,70.29,4.71,40,0.185972,82.4,0.5,76,0.384615,32.8,0.285714,0.062637,96.8,0,0,0.076923,92.8,0.153846,91.2,3,1,2,0.666667
CUBAL一级联赛,2024,2024-25,30097,钱媛媛,1003320449,20005,200406,,2,2010422538,武汉科技大学,1,Qian Yuanyuan,3,PG,1074,17.9,200050010958,1,2025-06-02,1,0,24.88,-0.41,45.6,0.195451,92,0.583333,46.4,0.285714,8,0.454545,0,0,0,0,0.041667,59.2,0.08,40,0,0,0,
CUBAL一级联赛,2024,2024-25,30097,钱媛媛,1003320449,20005,200406,,2,2010422416,山西财经大学,1,Qian Yuanyuan,3,PG,918,15.3,200050010966,0,2025-06-03,1,0,90.88,9.21,0,0.052687,100,1.25,19.2,0.2,100,0,0.112344,100,0.071429,100,0.133333,99.2,0.090909,52,2,2,0,0
CUBAL一级联赛,2024,2024-25,30097,钱媛媛,1003320449,20005,200406,,2,2010422544,华中科技大学,1,Qian Yuanyuan,3,PG,189,3.2,200050010970,0,2025-06-04,1,0,,3.31,,0.170068,,1,,0.5,,0,0.144009,,0,,0,,0.2,,0,0,0,
CUBAL一级联赛,2024,2024-25,30097,钱媛媛,1003320449,20005,200406,,2,1003320452,北京师范大学,1,Qian Yuanyuan,3,PG,1278,21.3,200050010974,1,2025-06-05,1,0,31.61,0.23,40.8,0.187983,8,0.260417,71.2,0.375,18.4,0.342466,0.04949,84.8,0,0,0,0,0.15,91.2,2,2,0,0
CUBAL一级联赛,2024,2024-25,30097,钱媛媛,1003320449,20005,200406,,2,1003320453,清华大学,1,Qian Yuanyuan,3,PG,1111,18.5,200050010977,1,2025-06-06,1,0,26.13,-0.3,0,0.045249,0,0,0.8,0.066667,100,0,0,0,0,0,0.043478,61.6,0.083333,45.6,2,0,2,1
2024-25,2024,2024-25,31999,贾晋文,1003320449,20005,200406,,2,2010421729,北京体育大学,1,Jia Jinwen,4,C,972,16.2,200050010675,1,2024-10-19,1,0,17.47,-1.3,22.92,0.132392,38.89,0.4,0,0,59.72,0.166667,0,0,0,0,0.05,19.44,0.15,59.03,5,3,2,0.4
2024-25,2024,2024-25,31999,贾晋文,1003320449,20005,200406,,2,1003320454,中国人民大学,1,Jia Jinwen,4,C,1148,19.1,200050010677,1,2024-10-20,1,0,72.63,5.07,51.39,0.16567,100,0.813609,64.58,0.125,76.39,0.128866,0,0,0,0,0.083333,50.69,0.111111,31.94,6,5,1,0.166667
2024-25,2024,2024-25,31999,贾晋文,1003320449,20005,200406,,2,1003320452,北京师范大学,1,Jia Jinwen,4,C,280,4.7,200050010681,1,2024-10-23,1,0,,-1.41,,0.202429,,0,,0.333333,,0.5,0,,0,,0,,0,,2,0,2,1
2024-25,2024,2024-25,31999,贾晋文,1003320449,20005,200406,,2,2010421733,北京工业大学,1,Jia Jinwen,4,C,1082,18,200050010688,1,2024-10-27,1,0,84.37,7.36,69.44,0.19287,88.19,0.592417,19.44,0.0625,100,0,0.063861,99.31,0.166667,100,0.105263,69.44,0.263158,100,4,1,3,0.75
2024-25,2024,2024-25,31999,贾晋文,1003320449,20005,200406,,2,1003320451,北京科技大学,1,Jia Jinwen,4,C,594,9.9,200050010690,0,2024-10-30,1,0,,-2.11,,0.254062,,0.170068,,0.166667,,0.145349,0,,0,,0.285714,,0.071429,,4,4,0,0
2024-25,2024,2024-25,31999,贾晋文,1003320449,20005,200406,,2,1003320453,清华大学,2,Jia Jinwen,4,C,142,2.4,200050010693,1,2024-11-02,1,0,,-0.09,,0.428571,,0.333333,,0,,0,0,,0,,0.2,,0,,0,0,0,
2024-25,2024,2024-25,31999,贾晋文,1003320449,20005,200406,,2,2010422340,哈尔滨体育学院,1,Jia Jinwen,4,C,679,11.3,200050010783,1,2025-03-11,1,0,89.14,8.53,98.61,0.284932,100,0.901442,41.67,0.090909,100,0,0,0,0.142857,100,0.125,81.94,0.125,40.97,4,4,0,0
