_group,_leagueName,球队ID,球队名称,有效命中率,篮下比重,篮下命中率,中距离比重,中距离命中率,三分比重,三分命中率,对手有效命中率,对手篮下比重,对手篮下命中率,对手中距离比重,对手中距离命中率,对手三分比重,对手三分命中率,篮下近距离比重,短中距离命中率,远中距离比重,长中距离命中率,底角三分比重,底角三分命中率,侧翼三分比重,非底角三分命中率,对手近距离比重,对手近距离命中率,对手远中距离比重,对手远中距离命中率,对手底角三分比重,对手底角三分命中率,对手侧翼三分比重,对手侧翼三分命中率,赛事ID,赛事名称,赛季ID,赛季,年份,球员ID,球员姓名,球员英文名,球衣号,年龄,sex,位置,身高,体重,位置(中文),上场时间(分钟),上场时间(秒),在场/不在场,球队比赛场次,球队有效命中率百分位,球队篮下出手占比百分位排名,球队篮下命中率百分位排名,球队中距离出手占比百分位排名,球队中距离命中率百分位排名,球队三分出手占比百分位排名,球队三分命中率百分位排名,对手有效命中率百分位,对手篮下出手占比百分位排名,对手篮下命中率百分位排名,对手中距离出手占比百分位排名,对手中距离命中率百分位排名,对手三分出手占比百分位排名,对手三分命中率百分位排名,位置筛选(全部/按位置)
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.523316,0.367876,0.690141,0.326425,0.349206,0.305699,0.338983,0.325658,0.203947,0.419355,0.401316,0.229508,0.394737,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,31999,贾晋文,,,19,,C,,,中锋,0.704,12678,,,85.77,66.1,80.52,49.06,65.92,38.2,82.02,79.96,82.21,82.77,27.9,72.85,28.46,50.19,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.585526,0.5,0.684211,0.223684,0.470588,0.276316,0.333333,0.279661,0.237288,0.5,0.355932,0.238095,0.40678,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,31999,贾晋文,,,19,,PF,,,大前锋,0.296,5322,,,95.88,91.95,79.03,16.67,92.7,27.9,81.09,89.89,73.03,69.1,41.39,70.79,23.97,87.83,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.35,0.2,0.5,0.4,0.25,0.4,0.25,0.625,0.25,0.333333,0.25,0.666667,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200069,2022-23,2022,31999,贾晋文,,,18,,总和,,,,9.1,543,,,,,,,,,,,,,,,,,true
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.222222,0.222222,0.5,0.444444,0.25,0.333333,0,0.545455,0.272727,0.333333,0.272727,0.666667,0.454545,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200069,2022-23,2022,31999,贾晋文,,,18,,C,,,中锋,0.794,431,,,,,,,,,,,,,,,,,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,1.5,0,0,0,0,1,1,1.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200069,2022-23,2022,31999,贾晋文,,,18,,PF,,,大前锋,0.206,112,,,,,,,,,,,,,,,,,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.616412,0.454198,0.689076,0.194656,0.529412,0.351145,0.380435,0.343049,0.224215,0.34,0.32287,0.263889,1,0.121076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,92972,蔡雨昕,,,20,,总和,,,,139.6,8378,,,,,,,,,,,,,,,,,true
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.622222,0.405556,0.684932,0.2,0.555556,0.394444,0.394366,0.360248,0.217391,0.4,0.298137,0.229167,0.484472,0.282051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,92972,蔡雨昕,,,20,,SG,,,得分后卫,0.69,5784,,,97.02,55.79,84.11,26.32,97.35,70.36,89.07,72.02,87.42,83.11,39.4,72.68,8.61,38.58,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.603659,0.560976,0.695652,0.182927,0.466667,0.256098,0.333333,0.298387,0.241935,0.2,0.387097,0.333333,0.370968,0.217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,92972,蔡雨昕,,,20,,PG,,,控球后卫,0.31,2594,,,95.53,94.21,85.93,21.03,89.07,20.86,77.98,88.58,84.27,99.5,15.4,40.89,38.41,65.23,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.423077,0.384615,0.6,0.307692,0.25,0.307692,0.25,0.2,0.2,0,0.3,0.666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,92972,蔡雨昕,,,19,,PG,,,控球后卫,1,1170,,,,,,,,,,,,,,,,,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.423077,0.384615,0.6,0.307692,0.25,0.307692,0.25,0.2,0.2,0,0.3,0.666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,92972,蔡雨昕,,,19,,总和,,,,19.5,1170,,,,,,,,,,,,,,,,,true
