得分,进攻篮板,防守篮板,篮板(总),助攻,抢断,盖帽,失误,个人犯规,投篮命中数,投篮出手数,投篮命中率,篮下命中数,篮下出手数,篮下命中率,中距离命中数,中距离出手数,中距离命中率,三分命中数,三分出手数,三分命中率,罚球命中数,罚球出手数,罚球命中率,playerId,playerName,playerEnName,number,上场时间(秒),plusMinus,gameStart,seasonId,teamId,时间段,_group
2,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32013,王雨桐,Wang Yutong,16,486,6,1,200406,1003320449,Q2,awayTeamDataCount
1,1,2,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0.5,32006,李美潼,Li Meitong,13,454,7,1,200406,1003320449,Q2,awayTeamDataCount
0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,32005,王家绘,Wang Jiahui,11,442,8,1,200406,1003320449,Q2,awayTeamDataCount
1,0,2,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,4,0.25,30097,钱媛媛,Qian Yuanyuan,3,371,6,1,200406,1003320449,Q2,awayTeamDataCount
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32001,王乔睿,Wang Qiaorui,9,229,3,0,200406,1003320449,Q2,awayTeamDataCount
6,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,2,2,1,0,0,0,32012,李若莹,Li Ruoying,31,158,1,0,200406,1003320449,Q2,awayTeamDataCount
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76061,赵婧涵,Zhao Jinghan,1,134,-1,0,200406,1003320449,Q2,awayTeamDataCount
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30230,安恒瑶,An Hengyao,6,114,3,0,200406,1003320449,Q2,awayTeamDataCount
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80548,罗巧梅,Luo Qiaomei,7,89,2,0,200406,1003320449,Q2,awayTeamDataCount
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80546,陈怡静,Chen Yijing,21,12,3,0,200406,1003320449,Q2,awayTeamDataCount
,0,2,2,,,,0,0,,,,,,,,,,,,,,,,0,团队篮板/失误/犯规,,,,,,,1003320449,Q2,awayTeamDataCount
19,1,8,9,4,1,0,3,6,6,13,0.4615,2,2,1,0,2,0,4,9,0.4444,3,7,0.4286,,总和,,,,9,,200406,1003320449,Q2,awayTeamDataCount
4,0,1,1,0,0,0,2,1,1,3,0.3333,1,2,0.5,0,1,0,0,0,0,2,3,0.6667,22700,曹博怡,Cao Boyi,14,600,6,1,200406,1003320452,Q3,homeTeamDataCount
5,0,6,6,1,0,1,1,1,2,4,0.5,1,2,0.5,1,2,0.5,0,0,0,1,3,0.3333,32090,张笑,,8,600,6,1,200406,1003320452,Q3,homeTeamDataCount
3,2,2,4,1,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,3,4,0.75,80524,张梓涵,Zhang Zihan,7,543,7,1,200406,1003320452,Q3,homeTeamDataCount
4,1,1,2,1,0,0,1,1,2,2,1,2,2,1,0,0,0,0,0,0,0,0,0,28161,李青阳,Li Qingyang,1,427,6,1,200406,1003320452,Q3,homeTeamDataCount
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,35590,张书璇,Zhang Shuxuan,5,485,5,0,200406,1003320452,Q3,homeTeamDataCount
0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,88490,李星诺,Li Xingnuo,11,288,1,0,200406,1003320452,Q3,homeTeamDataCount
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104527,毛婉如,,12,57,-1,0,200406,1003320452,Q3,homeTeamDataCount
,1,0,1,,,,1,0,,,,,,,,,,,,,,,,0,团队篮板/失误/犯规,,,,,,,1003320452,Q3,homeTeamDataCount
17,4,11,15,3,1,1,5,3,5,13,0.3846,4,8,0.5,1,4,0.25,0,1,0,7,12,0.5833,,总和,,,,6,,200406,1003320452,Q3,homeTeamDataCount
0,2,0,2,0,0,0,0,1,0,6,0,0,2,0,0,2,0,0,2,0,0,0,0,80550,伍湘琳,Wu Xianglin,10,600,-6,1,200406,1003320449,Q3,awayTeamDataCount
5,0,1,1,0,0,0,0,0,2,5,0.4,0,0,0,2,4,0.5,0,1,0,1,2,0.5,32005,王家绘,Wang Jiahui,11,485,-7,1,200406,1003320449,Q3,awayTeamDataCount
2,0,0,0,1,1,0,0,1,1,2,0.5,0,0,0,1,1,1,0,1,0,0,0,0,30097,钱媛媛,Qian Yuanyuan,3,410,-3,1,200406,1003320449,Q3,awayTeamDataCount
0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,32013,王雨桐,Wang Yutong,16,207,-3,1,200406,1003320449,Q3,awayTeamDataCount
2,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,32006,李美潼,Li Meitong,13,115,1,1,200406,1003320449,Q3,awayTeamDataCount
2,3,1,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,30230,安恒瑶,An Hengyao,6,393,-3,0,200406,1003320449,Q3,awayTeamDataCount
0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,32012,李若莹,Li Ruoying,31,328,1,0,200406,1003320449,Q3,awayTeamDataCount
0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,80546,陈怡静,Chen Yijing,21,272,-7,0,200406,1003320449,Q3,awayTeamDataCount
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,80548,罗巧梅,Luo Qiaomei,7,190,-3,0,200406,1003320449,Q3,awayTeamDataCount
,0,0,0,,,,0,1,,,,,,,,,,,,,,,,0,团队篮板/失误/犯规,,,,,,,1003320449,Q3,awayTeamDataCount
11,5,4,9,2,2,0,1,9,4,20,0.2,0,3,0,4,12,0.3333,0,5,0,3,4,0.75,,总和,,,,-6,,200406,1003320449,Q3,awayTeamDataCount
3,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3,3,1,28161,李青阳,Li Qingyang,1,600,2,1,200406,1003320452,Q4,homeTeamDataCount
6,0,2,2,1,0,1,1,0,3,3,1,1,1,1,2,2,1,0,0,0,0,2,0,32090,张笑,,8,600,2,1,200406,1003320452,Q4,homeTeamDataCount
5,0,1,1,0,0,0,2,1,2,3,0.6667,2,3,0.6667,0,0,0,0,0,0,1,1,1,22700,曹博怡,Cao Boyi,14,523,3,1,200406,1003320452,Q4,homeTeamDataCount
0,2,0,2,1,0,0,1,0,0,4,0,0,2,0,0,1,0,0,1,0,0,0,0,80524,张梓涵,Zhang Zihan,7,441,-1,1,200406,1003320452,Q4,homeTeamDataCount
3,0,0,0,0,0,0,0,2,1,2,0.5,0,0,0,0,0,0,1,2,0.5,0,0,0,35590,张书璇,Zhang Shuxuan,5,600,2,0,200406,1003320452,Q4,homeTeamDataCount
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104527,毛婉如,,12,159,3,0,200406,1003320452,Q4,homeTeamDataCount
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88490,李星诺,Li Xingnuo,11,77,-1,0,200406,1003320452,Q4,homeTeamDataCount
,0,2,2,,,,0,0,,,,,,,,,,,,,,,,0,团队篮板/失误/犯规,,,,,,,1003320452,Q4,homeTeamDataCount
17,3,6,9,3,0,1,4,4,6,13,0.4615,3,6,0.5,2,3,0.6667,1,4,0.25,4,6,0.6667,,总和,,,,2,,200406,1003320452,Q4,homeTeamDataCount
9,0,1,1,1,1,0,0,0,4,6,0.6667,2,2,1,2,4,0.5,0,0,0,1,1,1,32005,王家绘,Wang Jiahui,11,573,-2,1,200406,1003320449,Q4,awayTeamDataCount
0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80550,伍湘琳,Wu Xianglin,10,329,-4,1,200406,1003320449,Q4,awayTeamDataCount
4,1,1,2,0,1,0,0,1,1,3,0.3333,1,1,1,0,2,0,0,0,0,2,2,1,32013,王雨桐,Wang Yutong,16,318,0,1,200406,1003320449,Q4,awayTeamDataCount
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30097,钱媛媛,Qian Yuanyuan,3,170,-1,1,200406,1003320449,Q4,awayTeamDataCount
0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,32012,李若莹,Li Ruoying,31,600,-2,0,200406,1003320449,Q4,awayTeamDataCount
0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,80546,陈怡静,Chen Yijing,21,457,-1,0,200406,1003320449,Q4,awayTeamDataCount
