_group,_leagueName,球员ID,球员姓名,球员英文名,球衣号,年龄,sex,球队ID,球队名称,位置,身高,体重,位置(中文),赛事ID,赛事名称,赛季ID,赛季,年份,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),有效命中率百分位排名,有效命中率,篮下频率百分位排名,篮下出手数,篮下命中率百分位排名,篮下命中率,中距离频率百分位排名,中距离出手数,中距离命中率百分位排名,中距离命中率,三分频率百分位排名,三分出手数,三分命中率百分位排名,三分命中率,罚球频率百分位排名,罚球出手数,罚球命中率百分位排名,罚球命中率,底角三分出手数百分位排名,底角三分出手数,底角三分命中率百分位排名,底角三分命中率,非底角三分出手数百分位排名,非底角三分出手数,非底角三分命中率百分位排名,非底角三分命中率,球员短中距离出手数百分位排名,短中距离出手数,球员短中距离命中率百分位排名,短中距离命中率,球员长中距离出手数百分位排名,长中距离出手数,球员长中距离命中率百分位排名,长中距离命中率
CUBAL一级联赛,CUBAL一级联赛,92136,冯蔡依曼,Feng Caiyiman,12,19,,1003320449,北京大学,C,190,91,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,8,6771,112.9,false,88.11,0.580645,63.64,24,52.45,0.541667,26.57,7,97.9,0.714286,0,0,0,0,49.65,8,55.94,0.625,0,0,0,0,0,0,0,0,39.86,6,97.2,0.833333,18.18,1,0,0
CUBAL一级联赛,CUBAL一级联赛,92136,冯蔡依曼,Feng Caiyiman,12,18,,1003320449,北京大学,PF,190,91,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,1,2462,41,false,,0.428571,,6,,0.666667,,8,,0.25,,0,,0,,0,,0,,0,,0,,0,,0,,6,,0.333333,,2,,0
CUBAL一级联赛,CUBAL一级联赛,32006,李美潼,Li Meitong,13,22,,1003320449,北京大学,PF,186,78,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,18,19683,328.1,false,89.12,0.549107,96.6,64,76.19,0.59375,95.92,43,94.56,0.511628,42.86,5,55.78,0.2,100,64,78.23,0.703125,80.95,4,74.83,0.25,24.49,1,0,0,95.92,37,91.16,0.513514,74.83,6,87.07,0.5
CUBAL一级联赛,CUBAL一级联赛,32006,李美潼,Li Meitong,13,21,,1003320449,北京大学,PF,186,74,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,18,47822,797,false,92.52,0.521186,100,142,71.03,0.633803,97.2,90,68.22,0.333333,39.25,4,96.26,0.5,100,116,72.9,0.706897,0,0,0,0,42.99,4,96.26,0.5,97.2,80,69.16,0.35,80.37,10,55.14,0.2
CUBAL一级联赛,CUBAL一级联赛,32006,李美潼,Li Meitong,13,20,,1003320449,北京大学,PF,186,74,大前锋,20005,CUBAL一级联赛,200069,2022-23,2022,3,4914,81.9,false,60,0.421053,80,9,70,0.666667,55,10,20,0.2,0,0,0,0,90,15,70,0.8,0,0,0,0,0,0,0,0,65,9,20,0.222222,45,1,0,0
CUBAL一级联赛,CUBAL一级联赛,32013,王雨桐,Wang Yutong,16,20,,1003320449,北京大学,C,183,130,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,17,17592,293.2,false,90.91,0.585106,95.1,62,80.42,0.677419,86.01,30,86.01,0.433333,55.94,2,0,0,97.9,46,64.34,0.652174,0,0,0,0,55.94,2,0,0,94.41,29,80.42,0.448276,18.18,1,0,0
CUBAL一级联赛,CUBAL一级联赛,32013,王雨桐,Wang Yutong,16,19,,1003320449,北京大学,C,183,130,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,18,40106,668.4,false,76.72,0.516026,100,206,60.34,0.61165,99.14,94,60.34,0.340426,76.72,12,67.24,0.166667,99.14,94,85.34,0.787234,0,0,0,0,80.17,12,67.24,0.166667,99.14,82,57.76,0.365854,80.17,12,38.79,0.166667
CUBAL一级联赛,CUBAL一级联赛,32013,王雨桐,Wang Yutong,16,18,,1003320449,北京大学,PF,183,130,大前锋,20005,CUBAL一级联赛,200069,2022-23,2022,3,2676,44.6,false,5,0.277778,90,10,25,0.4,40,8,10,0.125,0,0,0,0,75,11,80,0.818182,0,0,0,0,0,0,0,0,45,5,0,0,60,3,70,0.333333
CUBAL一级联赛,CUBAL一级联赛,80546,陈怡静,Chen Yijing,21,21,,1003320449,北京大学,PF,187,76,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,14,12211,203.5,false,88.44,0.54386,63.95,26,58.5,0.538462,77.55,25,87.76,0.44,49.66,6,97.28,0.666667,77.55,20,85.03,0.8,80.95,4,87.07,0.5,36.73,2,100,1,74.83,16,82.99,0.4375,82.31,9,82.31,0.444444
CUBAL一级联赛,CUBAL一级联赛,80546,陈怡静,Chen Yijing,21,20,,1003320449,北京大学,PF,186,80,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,3,2082,34.7,false,,0.4,,2,,1,,8,,0.25,,0,,0,,0,,0,,0,,0,,0,,0,,6,,0.333333,,2,,0
CUBAL一级联赛,CUBAL一级联赛,32012,李若莹,Li Ruoying,31,21,,1003320449,北京大学,SG,186,70,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,18,26645,444.1,false,94.93,0.55303,94.93,55,89.86,0.727273,49.28,13,67.39,0.384615,100,130,83.33,0.330769,72.46,17,97.83,0.941176,98.55,24,81.16,0.375,100,106,78.99,0.320755,36.23,7,94.93,0.571429,80.43,6,47.1,0.166667
CUBAL一级联赛,CUBAL一级联赛,32012,李若莹,Li Ruoying,31,20,,1003320449,北京大学,SF,186,70,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,15,32066,534.4,false,90.91,0.52518,93.39,58,85.12,0.724138,55.37,18,92.56,0.444444,100,202,84.3,0.316832,74.38,24,49.59,0.583333,95.04,20,83.47,0.4,100,182,81.82,0.307692,55.37,14,97.52,0.571429,55.37,4,0,0
CUBAL一级联赛,CUBAL一级联赛,32012,李若莹,Li Ruoying,31,19,,1003320449,北京大学,SF,186,70,小前锋,20005,CUBAL一级联赛,200069,2022-23,2022,3,3656,60.9,false,50,0.333333,27.78,3,77.78,0.666667,27.78,3,0,0,55.56,9,77.78,0.222222,0,0,0,0,44.44,2,83.33,0.5,72.22,7,61.11,0.142857,50,3,0,0,0,0,0,0
