得分,进攻篮板,防守篮板,篮板(总),助攻,抢断,盖帽,失误,个人犯规,投篮命中数,投篮出手数,投篮命中率,篮下命中数,篮下出手数,篮下命中率,中距离命中数,中距离出手数,中距离命中率,三分命中数,三分出手数,三分命中率,罚球命中数,罚球出手数,罚球命中率,playerId,playerName,playerEnName,number,上场时间(秒),plusMinus,gameStart,seasonId,teamId,时间段,_group
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32006,李美潼,Li Meitong,13,135,0,1,200406,1003320449,Q1,awayTeamDataCount
3,0,1,1,0,1,1,0,3,1,2,0.5,0,0,0,0,1,0,1,1,1,0,0,0,80546,陈怡静,Chen Yijing,21,465,0,0,200406,1003320449,Q1,awayTeamDataCount
0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32012,李若莹,Li Ruoying,31,311,3,0,200406,1003320449,Q1,awayTeamDataCount
2,1,1,2,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,2,1,80548,罗巧梅,Luo Qiaomei,7,311,3,0,200406,1003320449,Q1,awayTeamDataCount
0,1,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,30230,安恒瑶,An Hengyao,6,274,2,0,200406,1003320449,Q1,awayTeamDataCount
2,1,1,2,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,31999,贾晋文,Jia Jinwen,4,142,1,0,200406,1003320449,Q1,awayTeamDataCount
,1,1,2,,,,0,0,,,,,,,,,,,,,,,,0,团队篮板/失误/犯规,,,,,,,1003320449,Q1,awayTeamDataCount
17,6,11,17,2,3,2,2,7,5,21,0.2381,3,7,0.4286,1,8,0.125,1,6,0.1667,6,6,1,,总和,,,,0,,200406,1003320449,Q1,awayTeamDataCount
0,0,1,1,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,2,0,0,0,0,32064,王小青,Wang Xiaoqing,5,600,-11,1,200406,1003320453,Q2,homeTeamDataCount
2,0,3,3,1,2,1,0,1,1,2,0.5,1,1,1,0,0,0,0,1,0,0,0,0,32067,高梓悦,Gao Ziyue,16,535,-11,1,200406,1003320453,Q2,homeTeamDataCount
0,0,2,2,0,0,0,4,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,32071,张涛,Zhang Tao,11,492,-9,1,200406,1003320453,Q2,homeTeamDataCount
0,1,1,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,32072,吴语桐,Wu Yutong,4,311,-4,1,200406,1003320453,Q2,homeTeamDataCount
0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,93035,李瑜婧,Li Yujing,21,199,-7,1,200406,1003320453,Q2,homeTeamDataCount
