_group,_leagueName,球队ID,球队名称,有效命中率,篮下比重,篮下命中率,中距离比重,中距离命中率,三分比重,三分命中率,对手有效命中率,对手篮下比重,对手篮下命中率,对手中距离比重,对手中距离命中率,对手三分比重,对手三分命中率,篮下近距离比重,短中距离命中率,远中距离比重,长中距离命中率,底角三分比重,底角三分命中率,侧翼三分比重,非底角三分命中率,对手近距离比重,对手近距离命中率,对手远中距离比重,对手远中距离命中率,对手底角三分比重,对手底角三分命中率,对手侧翼三分比重,对手侧翼三分命中率,赛事ID,赛事名称,赛季ID,赛季,年份,球员ID,球员姓名,球员英文名,球衣号,年龄,sex,位置,身高,体重,位置(中文),上场时间(分钟),上场时间(秒),在场/不在场,球队比赛场次,球队有效命中率百分位,球队篮下出手占比百分位排名,球队篮下命中率百分位排名,球队中距离出手占比百分位排名,球队中距离命中率百分位排名,球队三分出手占比百分位排名,球队三分命中率百分位排名,对手有效命中率百分位,对手篮下出手占比百分位排名,对手篮下命中率百分位排名,对手中距离出手占比百分位排名,对手中距离命中率百分位排名,对手三分出手占比百分位排名,对手三分命中率百分位排名
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.557003,0.410423,0.674603,0.299674,0.413043,0.289902,0.359551,0.357798,0.270642,0.457627,0.334862,0.369863,0.394495,0.186047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,30230,安恒瑶,,,18,,,,,,337,20222,不在场,,92.32,77.34,76.78,38.2,84.46,32.21,85.58,68.16,61.61,76.97,47,27.34,28.46,73.41
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,-0.037358,-0.112611,-0.00916,0.093244,-0.043492,0.019366,0.008215,0.028441,0.041299,0.106726,-0.025857,0.038184,-0.015441,-0.034126,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,80548,罗巧梅,,,21,,,,,,725,,差值,,24.07,6.02,43.7,91.83,31.52,62.18,54.3,32.81,23.78,12.46,69.05,32.38,63.18,67.77
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.541744,0.441558,0.64916,0.253247,0.435897,0.305195,0.316109,0.374337,0.236479,0.493274,0.342524,0.260062,0.420997,0.267003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80548,罗巧梅,,,21,,,,,,601.7,36104,在场,,86.26,65.56,78.48,44.7,84.77,36.09,73.18,65.4,84.93,62.58,25.5,63.74,19.7,43.71
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.504386,0.328947,0.64,0.346491,0.392405,0.324561,0.324324,0.402778,0.277778,0.6,0.316667,0.298246,0.405556,0.232877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80548,罗巧梅,,,21,,,,,,123.3,7396,不在场,,78.64,33.28,76.32,75.5,75.83,42.72,74.67,54.3,78.15,33.11,33.77,49.83,24.83,58.44
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.084903,0.071815,0.035811,0.021238,0.060812,-0.093053,0.091625,0.098239,0.024467,0.135269,-0.01062,0.088384,-0.013848,0.049122,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,80548,罗巧梅,,,20,,,,,,1440,,差值,,88.69,84.56,62.12,63.2,75.76,9.69,87.25,4.13,35.55,8.26,61.58,14.72,57.45,23.7
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.457166,0.372323,0.619469,0.293245,0.342697,0.334432,0.251232,0.316348,0.225053,0.433962,0.390658,0.25,0.384289,0.209945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,80548,罗巧梅,,,20,,,,,,677.1,40624,在场,,67.6,67.23,62.73,36.33,64.23,47.57,54.68,82.77,77.72,80.52,30.9,69.1,31.65,62.92
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.542069,0.444138,0.65528,0.314483,0.403509,0.241379,0.342857,0.414587,0.24952,0.569231,0.380038,0.338384,0.370441,0.259067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,80548,罗巧梅,,,20,,,,,,762.9,45776,不在场,,88.95,84.64,71.91,44.01,83.33,16.67,82.77,46.07,69.29,49.44,34.83,35.77,37.08,44.19
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,-0.000254,0.03191,-0.016486,-0.018801,-0.035798,-0.013108,0.021689,-0.052932,-0.067784,-0.111506,0.00331,-0.057752,0.064474,-0.002072,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,80549,王斯瑶,,,22,,,,,,725,,差值,,49,66.48,41.12,41.26,34.96,43.12,62.18,78.94,83.38,86.53,49,72.21,14.33,52.44
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.535294,0.412834,0.65285,0.274866,0.435798,0.312299,0.311644,0.393696,0.262052,0.537736,0.337454,0.282051,0.400494,0.262346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80549,王斯瑶,,,22,,,,,,524.9,31493,在场,,84.93,57.95,79.3,52.65,84.77,38.58,71.52,58.44,81.29,49.17,27.32,56.95,26.16,47.02
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.53504,0.444744,0.636364,0.256065,0.4,0.299191,0.333333,0.340764,0.194268,0.42623,0.340764,0.224299,0.464968,0.260274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80549,王斯瑶,,,22,,,,,,200.1,12007,不在场,,84.93,67.22,74.83,45.36,77.98,33.44,77.98,78.81,90.89,77.98,25.66,73.84,10.26,48.34
