_group,_leagueName,上场时间(秒),上场时间(分钟),出场次数,打法类型,得分,每回合得分,打法类型回合数,篮下出手数,篮下命中数,篮下未命中数,中距离出手数,中距离命中数,中距离未命中数,三分出手数,三分命中数,三分未命中数,失误,有效命中率,篮下比重,中距离比重,三分比重,失误占比,造罚球回合数,造罚球占比,球员ID,球员姓名,球员英文名,球衣号,年龄,sex,球队ID,球队名称,位置,身高,体重,位置(中文),赛事ID,赛事名称,赛季ID,赛季,年份,每100回合打法使用次数,每36分钟打法使用次数,每36分钟打法使用次数百分位排名,每100回合打法使用次数百分位排名,球员每回合得分百分位排名,有效命中率百分位排名,球员篮下出手占比百分位排名,球员中距离出手占比百分位排名,球员三分出手占比百分位排名,球员失误占比百分位排名,球员造罚球占比百分位排名
CUBAL一级联赛,CUBAL一级联赛,9000,150,12,Transition,8,1,8,3,2,1,4,2,2,0,0,0,1,0.571429,0.4286,0.5714,0,0.125,0,0,31999,贾晋文,Jia Jinwen,4,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,2.6967,1.92,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,9000,150,12,Post-Up,8,0.8889,9,4,3,1,2,0,2,0,0,0,1,0.5,0.6667,0.3333,0,0.1111,2,0.2222,31999,贾晋文,Jia Jinwen,4,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,3.0338,2.16,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,9000,150,12,Off-Screen,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,31999,贾晋文,Jia Jinwen,4,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,0.3371,0.24,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,9000,150,12,Cut,27,0.9643,28,10,9,1,10,3,7,0,0,0,6,0.6,0.5,0.5,0,0.2143,2,0.0714,31999,贾晋文,Jia Jinwen,4,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,9.4384,6.72,92.93,92.42,64.14,83.84,55.56,42.93,0,9.6,45.96
CUBAL一级联赛,CUBAL一级联赛,9000,150,12,P&R-Roll-Man,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,31999,贾晋文,Jia Jinwen,4,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,0.3371,0.24,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,9000,150,12,Put-Backs,8,0.8,10,3,2,1,6,2,4,0,0,0,1,0.444444,0.3333,0.6667,0,0.1,0,0,31999,贾晋文,Jia Jinwen,4,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,3.3709,2.4,59.79,56.7,23.71,36.08,3.09,96.91,0,25.77,0
CUBAL一级联赛,CUBAL一级联赛,9000,150,12,Miscellaneous,4,1,4,2,2,0,0,0,0,0,0,0,2,1,1,0,0,0.5,0,0,31999,贾晋文,Jia Jinwen,4,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,1.3483,0.96,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,543,9.1,2,Transition,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,31999,贾晋文,Jia Jinwen,4,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200069,2022-23,2022,5.4044,3.956,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,8378,139.6,9,Transition,24,1.0435,23,6,5,1,4,2,2,7,3,4,5,0.676471,0.3529,0.2353,0.4118,0.2174,1,0.0435,92972,蔡雨昕,Cai Yuxin,5,,,1003320449,北京大学,SG,,,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,8.5102,5.9312,76.73,78.8,73.96,85.71,16.36,65.21,83.64,31.11,32.95
CUBAL一级联赛,CUBAL一级联赛,8378,139.6,9,P&R-Ball-Handler,0,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0.5,0.5,0,0,0,92972,蔡雨昕,Cai Yuxin,5,,,1003320449,北京大学,SG,,,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,0.74,0.5158,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,8378,139.6,9,Spot-Up,33,1.0313,32,0,0,0,0,0,0,27,11,16,5,0.611111,0,0,1,0.1563,0,0,92972,蔡雨昕,Cai Yuxin,5,,,1003320449,北京大学,SG,,,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,11.8403,8.2521,85.28,85.93,92.86,96.75,0,0,100,36.58,0
CUBAL一级联赛,CUBAL一级联赛,8378,139.6,9,Off-Screen,0,0,5,0,0,0,2,0,2,3,0,3,0,0,0,0.4,0.6,0,0,0,92972,蔡雨昕,Cai Yuxin,5,,,1003320449,北京大学,SG,,,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,1.8501,1.2894,,,,,,,,,
