_group,_leagueName,球员ID,球员姓名,球员英文名,球衣号,年龄,sex,球队ID,球队名称,位置,身高,体重,位置(中文),赛事ID,赛事名称,赛季ID,赛季,年份,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),有效命中率百分位排名,有效命中率,篮下频率百分位排名,篮下出手数,篮下命中率百分位排名,篮下命中率,中距离频率百分位排名,中距离出手数,中距离命中率百分位排名,中距离命中率,三分频率百分位排名,三分出手数,三分命中率百分位排名,三分命中率,罚球频率百分位排名,罚球出手数,罚球命中率百分位排名,罚球命中率,底角三分出手数百分位排名,底角三分出手数,底角三分命中率百分位排名,底角三分命中率,非底角三分出手数百分位排名,非底角三分出手数,非底角三分命中率百分位排名,非底角三分命中率,球员短中距离出手数百分位排名,短中距离出手数,球员短中距离命中率百分位排名,短中距离命中率,球员长中距离出手数百分位排名,长中距离出手数,球员长中距离命中率百分位排名,长中距离命中率
CUBAL一级联赛,CUBAL一级联赛,30230,安恒瑶,An Hengyao,6,18,,1003320449,北京大学,C,193,90,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,18,20222,1,false,97.44,0.617021,86.32,58,62.39,0.62069,75.21,36,96.58,0.611111,0,0,0,0,55.56,14,91.45,0.857143,0,0,0,0,0,0,0,0,70.94,22,94.02,0.545455,87.18,14,93.16,0.714286
CUBAL一级联赛,CUBAL一级联赛,80548,罗巧梅,,,21,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,11,7396,123.3,true,43.55,0.37037,8.06,2,100,1,45.97,11,32.26,0.181818,39.52,14,70.16,0.285714,11.29,2,100,1,0,,0,0,0,,0,0,0,,0,0,0,,0,0
CUBAL一级联赛,CUBAL一级联赛,80548,罗巧梅,Luo Qiaomei,7,21,,1003320449,北京大学,PG,173,68,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,6,6062,0.82,false,15.2,0.277778,8,2,100,1,30.4,6,0,0,30.4,10,36.8,0.2,11.2,2,100,1,0,0,0,0,35.2,10,36.8,0.2,36.8,6,0,0,0,0,0,0
CUBAL一级联赛,CUBAL一级联赛,80548,罗巧梅,Luo Qiaomei,7,21,,1003320449,北京大学,SG,173,68,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,5,1334,0.18,false,94.96,0.555556,0,0,0,0,17.99,5,74.82,0.4,13.67,4,97.84,0.5,0,0,0,0,0,0,0,0,14.39,4,97.12,0.5,17.99,3,55.4,0.333333,36.69,2,87.05,0.5
CUBAL一级联赛,CUBAL一级联赛,80548,罗巧梅,,,20,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200267,2023-24,2023,33,45776,762.9,true,96.52,0.581169,100,156,81.74,0.692308,98.26,108,88.7,0.462963,75.65,44,79.13,0.318182,98.26,80,84.35,0.775,0,,0,0,0,,0,0,0,,0,0,0,,0,0
CUBAL一级联赛,CUBAL一级联赛,80548,罗巧梅,Luo Qiaomei,7,20,,1003320449,北京大学,SG,172,65,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,17,31838,0.696,false,98.28,0.626126,98.28,114,87.93,0.719298,94.83,72,93.1,0.5,65.52,36,94.83,0.388889,93.97,50,67.24,0.68,67.24,6,94.83,0.666667,67.24,30,83.62,0.333333,94.83,52,87.93,0.461538,96.55,20,87.07,0.6
CUBAL一级联赛,CUBAL一级联赛,80548,罗巧梅,Luo Qiaomei,7,20,,1003320449,北京大学,PG,172,65,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,16,13938,0.304,false,80.39,0.465116,91.18,42,61.76,0.619048,84.31,36,80.39,0.388889,19.61,8,0,0,89.22,30,93.14,0.933333,0,0,0,0,23.53,8,0,0,87.25,34,64.71,0.352941,36.27,2,100,1
CUBAL一级联赛,CUBAL一级联赛,80549,王斯瑶,,,22,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,24,12007,200.1,true,68.12,0.453333,69.57,25,60.14,0.56,90.58,35,74.64,0.4,32.61,15,68.12,0.266667,77.54,21,95.65,0.904762,0,,0,0,0,,0,0,0,,0,0,0,,0,0
CUBAL一级联赛,CUBAL一级联赛,80549,王斯瑶,Wang Siyao,8,22,,1003320449,北京大学,SG,170,64,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,10,4491,0.374,false,71.22,0.461538,27.34,9,94.96,0.777778,49.64,13,66.91,0.384615,13.67,4,0,0,30.22,6,100,1,24.46,1,0,0,12.95,3,0,0,61.87,12,75.54,0.416667,24.46,1,0,0
CUBAL一级联赛,CUBAL一级联赛,80549,王斯瑶,Wang Siyao,8,22,,1003320449,北京大学,SF,170,64,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,5,3990,0.332,false,91.16,0.537037,36.73,9,33.33,0.444444,46.26,9,95.92,0.666667,30.61,9,80.95,0.333333,49.66,8,100,1,42.86,2,87.07,0.5,30.61,7,68.03,0.285714,49.66,7,93.2,0.714286,49.66,2,87.07,0.5
CUBAL一级联赛,CUBAL一级联赛,80549,王斯瑶,Wang Siyao,8,22,,1003320449,北京大学,PG,170,64,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,9,3526,0.294,false,34.4,0.340909,26.4,7,31.2,0.428571,55.2,13,41.6,0.230769,6.4,2,96.8,0.5,43.2,7,74.4,0.714286,0,0,0,0,8,2,93.6,0.5,61.6,12,49.6,0.25,24,1,0,0
CUBAL一级联赛,CUBAL一级联赛,80549,王斯瑶,,,21,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200267,2023-24,2023,14,21472,357.9,true,96.04,0.538462,98.02,58,62.38,0.62069,89.11,52,53.47,0.307692,39.6,20,99.01,0.6,55.45,12,92.08,0.833333,0,,0,0,0,,0,0,0,,0,0,0,,0,0
CUBAL一级联赛,CUBAL一级联赛,80549,王斯瑶,Wang Siyao,8,21,,1003320449,北京大学,PG,168,65,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,13,20302,0.946,false,98.04,0.546875,97.06,56,67.65,0.642857,88.24,52,52.94,0.307692,42.16,20,98.04,0.6,42.16,8,80.39,0.75,36.27,2,0,0,47.06,18,96.08,0.666667,94.12,48,51.96,0.291667,49.02,4,87.25,0.5
CUBAL一级联赛,CUBAL一级联赛,80549,王斯瑶,Wang Siyao,8,21,,1003320449,北京大学,SG,168,65,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,1,1170,0.054,false,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17.24,4,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUBAL一级联赛,CUBAL一级联赛,32001,王乔睿,,,20,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,21,10910,181.8,true,78.99,0.488889,39.13,15,91.3,0.733333,49.28,13,67.39,0.384615,39.13,17,56.52,0.235294,23.91,4,80.43,0.75,0,,0,0,0,,0,0,0,,0,0,0,,0,0
CUBAL一级联赛,CUBAL一级联赛,32001,王乔睿,Wang Qiaorui,9,20,,1003320449,北京大学,SG,178,75,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,12,6588,0.604,false,66.19,0.45,24.46,8,74.82,0.625,30.22,8,87.05,0.5,27.34,14,48.92,0.214286,24.46,4,80.58,0.75,0,0,0,0,36.69,14,49.64,0.214286,30.22,6,87.05,0.5,36.69,2,87.05,0.5
CUBAL一级联赛,CUBAL一级联赛,32001,王乔睿,Wang Qiaorui,9,20,,1003320449,北京大学,PG,178,75,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,8,4303,0.394,false,94.4,0.607143,26.4,7,93.6,0.857143,17.6,4,46.4,0.25,8,3,84,0.333333,0,0,0,0,36.8,1,100,1,8,2,0,0,20.8,3,61.6,0.333333,24,1,0,0
