_group,_leagueName,球队ID,球队名称,得分,对手得分,打法类型,该打法占比,每回合得分,打法类型回合数,篮下出手数,篮下命中数,篮下未命中数,中距离出手数,中距离命中数,中距离未命中数,三分出手数,三分命中数,三分未命中数,有效命中率,篮下比重,中距离比重,三分比重,失误,失误占比,造罚球回合数,造罚球占比,对手该打法回合数,对手篮下出手数,对手篮下命中数,对手篮下未命中数,对手中距离出手数,对手中距离命中数,对手中距离未命中数,对手三分出手数,对手三分命中数,对手三分未命中数,对手该打法占比,对手每回合得分,对手有效命中率,对手篮下比重,对手中距离比重,对手三分比重,对手失误,对手失误占比,对手造罚球回合数,对手造罚球占比,赛事ID,赛事名称,赛季ID,赛季,年份,球员ID,球员姓名,球员英文名,球衣号,年龄,sex,位置,身高,体重,位置(中文),lineups,上场时间(秒),上场时间(分钟),每回合得分百分位排名,打法占比百分位排名,球队有效命中率百分位,球队篮下出手占比百分位排名,球队中距离出手占比百分位排名,球队三分出手占比百分位排名,失误占比百分位排名,造罚球占比百分位排名,对手每回合得分百分位排名,对手打法占比百分位排名,对手有效命中率百分位,对手篮下出手占比百分位排名,对手中距离出手占比百分位排名,对手三分出手占比百分位排名,对手失误占比百分位排名,对手造罚球占比百分位排名,在场/不在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,,,Transition,-0.0124,-0.1513,,,,,,,,,,,-0.0953,-0.1043,0.0277,0.0766,,-0.0091,,0.0051,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,30230,,,6,19,2,,190,115,,,,,40.84,21.07,39.79,39.5,68.13,79.96,41.03,64.89,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,106,,Transition,0.2824,0.9725,109,50,,15,25,9,16,17,5,12,0.553763,0.5435,0.2717,0.1848,9,0.0826,7,0.0642,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,30230,,,6,18,2,,193,90,,,10111,168.5,64.58,81.44,62.12,60.23,55.3,37.69,82.58,45.27,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,293,,Transition,0.2506,0.8746,335,153,,50,62,29,33,52,8,44,0.539326,0.573,0.2322,0.1948,43,0.1284,25,0.0746,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,30230,,,6,18,2,,193,90,,,33089,551.5,54.17,72.35,58.71,66.1,47.35,40.53,67.23,51.52,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,,,Transition,0.0318,0.0979,,,,,,,,,,,0.0144,-0.0295,0.0395,-0.01,,-0.0458,,-0.0104,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,30230,,,6,18,2,,193,90,,,,,74.18,99.78,63.35,52.95,70.9,58.21,55.69,56.02,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,72,,Transition,0.2274,1.0588,68,26,,8,13,7,6,15,7,8,0.657407,0.4815,0.2407,0.2778,7,0.1029,7,0.1029,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,80548,,,7,21,2,,173,68,,,7396,123.3,74.34,57.42,79.15,31.1,66.25,66.9,71.38,63.6,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,360,,Transition,0.2803,0.8845,407,174,,52,56,27,29,68,19,49,0.595638,0.5839,0.1879,0.2282,73,0.1794,36,0.0885,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,80548,,,7,21,2,,173,68,,,36104,601.7,54.95,77.39,70.49,51.94,53,55.48,47.35,55.48,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,,,Transition,-0.0529,0.1743,,,,,,,,,,,0.0618,-0.1024,0.0528,0.0496,,-0.0765,,0.0144,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,80548,,,7,21,2,,173,68,,,,,82.63,21.07,74.52,40.17,75.86,73.66,62.02,69.75,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,225,,Transition,0.2564,0.9298,242,112,,33,50,23,27,31,5,26,0.564433,0.5803,0.2591,0.1606,28,0.1157,20,0.0826,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,80548,,,7,20,2,,172,65,,,22888,381.5,59.66,74.62,65.53,66.67,52.84,31.82,71.4,56.06,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,174,,Transition,0.2589,0.8529,204,91,,32,37,15,22,38,8,30,0.518072,0.5482,0.2229,0.2289,24,0.1176,14,0.0686,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,80548,,,7,20,2,,172,65,,,20312,338.5,50.66,75.57,54.36,61.74,46.21,47.35,70.59,47.92,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,,,Transition,-0.0025,0.0769,,,,,,,,,,,0.0464,0.0321,0.0362,-0.0683,,-0.0019,,0.014,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,80548,,,7,20,2,,172,65,,,,,71.23,19.67,71.55,68.16,70.13,43.54,39.61,68.6,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,127,,Transition,0.2982,0.8639,147,66,,22,25,10,15,20,6,14,0.567568,0.5946,0.2252,0.1802,24,0.1633,12,0.0816,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,80549,,,8,22,2,,170,64,,,12007,200.1,52.12,83.39,63.43,53.27,63.43,41.17,51.77,52.12,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,303,,Transition,0.2587,0.9294,326,134,,38,43,23,20,63,20,43,0.620833,0.5583,0.1792,0.2625,56,0.1718,30,0.092,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,80549,,,8,22,2,,170,64,,,31493,524.9,59.54,70.67,74.91,46.11,48.94,62.9,49.29,57.95,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,,,Transition,0.0395,-0.0655,,,,,,,,,,,-0.0533,0.0363,0.046,-0.0823,,-0.0085,,-0.0104,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,80549,,,8,22,2,,170,64,,,,,52.1,99.9,48.95,69.85,73.95,40.08,40.74,56.87,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,137,,Transition,0.3015,1.1138,123,68,,19,17,9,8,19,6,13,0.644231,0.6538,0.1635,0.1827,13,0.1057,6,0.0488,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,80549,,,8,21,2,,168,65,,,10736,178.9,80.11,86.55,77.65,78.56,29.73,37.69,75.38,35.42,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,262,,Transition,0.2445,0.8162,321,135,,46,70,29,41,50,7,43,0.501953,0.5294,0.2745,0.1961,39,0.1215,26,0.081,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,80549,,,8,21,2,,168,65,,,32464,541.1,45.45,69.51,54.17,58.44,57.2,40.53,69.51,55.87,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,,,Transition,0.057,0.2976,,,,,,,,,,,0.1423,0.1244,-0.111,-0.0134,,-0.0158,,-0.0322,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,80549,,,8,21,2,,168,65,,,,,90.92,99.78,86.87,85.67,34.46,57.11,45.84,45.4,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,100,,Transition,0.2616,0.8475,118,48,,15,16,10,6,16,4,12,0.6125,0.6,0.2,0.2,27,0.2288,11,0.0932,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,32001,,,9,20,2,,178,75,,,10910,181.8,50.71,71.55,73.85,54.51,56.11,46.73,32.86,57.95,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,332,,Transition,0.2738,0.9326,356,152,,45,53,24,29,67,22,45,0.602941,0.5588,0.1949,0.2463,53,0.1489,31,0.0871,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,32001,,,9,20,2,,178,75,,,32590,543.2,59.54,75.44,71.55,46.11,54.06,57.77,57.07,55.48,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,,,Transition,-0.0122,-0.0851,,,,,,,,,,,0.0096,0.0412,0.0051,-0.0463,,0.0799,,0.0061,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,32001,,,9,20,2,,178,75,,,,,49.52,21.07,63.74,70.9,62.02,49.43,14.98,65.36,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,17,,Transition,0.1935,0.9444,18,6,,0,5,1,4,1,1,0,0.708333,0.5,0.4167,0.0833,4,0.2222,2,0.1111,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200069,2022-23,2022,32001,,,6,18,2,,178,74,,,2432,40.5,83.33,38.89,86.11,40,85.71,22.86,44.44,71.43,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,27,,Transition,0.2,0.5745,47,20,,9,7,1,6,2,1,1,0.465517,0.6897,0.2414,0.069,11,0.234,7,0.1489,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200069,2022-23,2022,32001,,,6,18,2,,178,74,,,5068,84.5,30.56,41.67,44.44,80.56,50,19.44,41.67,86.11,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,,,Transition,-0.0065,0.3699,,,,,,,,,,,0.2428,-0.1897,0.1753,0.0143,,-0.0118,,-0.0378,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200069,2022-23,2022,32001,,,6,18,2,,178,74,,,,,81.82,15.43,83.42,29.95,85.56,62.57,45.45,35.29,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,48,,Transition,0.2533,0.8276,58,24,,8,12,3,9,10,3,7,0.51087,0.5217,0.2609,0.2174,7,0.1207,5,0.0862,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,32001,,,9,19,2,,178,74,,,5814,96.9,47.35,73.67,54.17,56.55,52.84,45.73,69.51,58.71,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,351,,Transition,0.2597,0.9046,388,179,,57,75,35,40,59,10,49,0.547771,0.5719,0.2396,0.1885,45,0.116,29,0.0747,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,32001,,,9,19,2,,178,74,,,37386,623.1,57.2,75.76,60.8,66.1,47.92,39.39,71.4,51.52,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,,,Transition,-0.0064,-0.077,,,,,,,,,,,-0.0369,-0.0502,0.0213,0.0289,,0.0047,,0.0115,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,32001,,,9,19,2,,178,74,,,,,47.59,19.67,50.33,47.37,66.85,67.18,37.53,67.07,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,168,,Transition,0.2607,0.8116,207,85,,24,30,13,17,34,6,28,0.557047,0.5705,0.2013,0.2282,37,0.1787,21,0.1014,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,80550,,,10,22,2,,173,75,,,19941,332.4,45.58,71.2,60.42,47.35,57.95,55.48,47.35,63.6,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,262,,Transition,0.279,0.9813,267,115,,36,38,20,18,49,20,29,0.638614,0.5693,0.1881,0.2426,43,0.161,22,0.0824,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,80550,,,10,22,2,,173,75,,,23559,392.7,66.08,77.03,76.15,47.35,53,57.77,52.83,52.12,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,,,Transition,-0.0183,-0.1697,,,,,,,,,,,-0.0816,0.0012,0.0132,-0.0144,,0.0177,,0.019,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,80550,,,10,22,2,,173,75,,,,,39.41,21.07,42.08,61.83,64.03,58.3,31.3,72.14,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,122,,Transition,0.2574,0.7349,166,62,,25,35,12,23,32,7,25,0.46124,0.4806,0.2713,0.2481,20,0.1205,17,0.1024,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,80550,,,10,21,2,,173,75,,,16383,273.1,36.74,75.14,40.91,47.92,55.3,51.52,69.51,65.53,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,281,,Transition,0.2592,0.9965,282,143,,40,52,26,26,37,6,31,0.592275,0.6164,0.2241,0.1595,32,0.1135,17,0.0603,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,80550,,,10,21,2,,173,75,,,26817,447,64.58,75.57,70.64,72.92,46.21,31.82,71.78,42.8,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,,,Transition,-0.0018,-0.2616,,,,,,,,,,,-0.131,-0.1358,0.0472,0.0886,,0.007,,0.0421,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,80550,,,10,21,2,,173,75,,,,,30.96,19.67,34.14,35.34,72.54,80.85,36.32,83.26,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,236,,Transition,0.2662,0.8551,276,114,,34,37,19,18,45,12,33,0.596939,0.5816,0.1888,0.2296,52,0.1884,28,0.1014,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,32005,,,11,22,2,,183,80,,,25786,429.8,51.24,73.85,70.49,50.18,53,55.48,43.82,63.6,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,196,,Transition,0.2786,0.98,200,86,,26,32,15,17,38,14,24,0.615385,0.5513,0.2051,0.2436,28,0.14,16,0.08,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,32005,,,11,22,2,,183,80,,,17714,295.2,65.9,77.03,73.98,43.99,57.95,57.77,60.6,51.33,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,,,Transition,-0.0124,-0.1249,,,,,,,,,,,-0.0184,0.0303,-0.0163,-0.014,,0.0484,,0.0214,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,32005,,,11,22,2,,183,80,,,,,43.42,21.07,58.3,68.8,57.06,58.49,21.47,73.85,,,,,,,,,差值
