_group,_seasonYear,_season,_stageName,得分,进攻篮板,防守篮板,篮板(总),助攻,抢断,盖帽,失误,个人犯规,投篮命中数,投篮出手数,投篮命中率,篮下命中数,篮下出手数,篮下命中率,中距离命中数,中距离出手数,中距离命中率,三分命中数,三分出手数,三分命中率,罚球命中数,罚球出手数,罚球命中率,playerId,date,主客场,胜负,opponentId,对手,leagueEventId,scheduleId,上场时间(分钟),上场时间(秒),_playerName
CBDL,2025,2025-26,全部,5,3,0,3,2,0,0,0,1,2,5,0.4,2,4,0.5,0,1,0,0,0,0,1,2,0.5,34991,2026-01-15,0,2,1003320593,广州龙狮(CBDL),20039,200390010279,10.8,646,张子一
CBDL,2025,2025-26,全部,0,0,1,1,0,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,34991,2026-01-14,1,1,1003320596,四川锦城(CBDL),20039,200390010283,5,302,张子一
CBDL,2025,2025-26,全部,13,2,7,9,1,2,0,0,1,4,7,0.5714,1,4,0.25,3,3,1,0,0,0,5,8,0.625,34991,2026-01-13,1,1,1003320597,浙江稠州银行(CBDL),20039,200390010286,16.8,1007,张子一
CBDL,2025,2025-26,全部,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34691,2026-01-18,0,2,2010420237,山东高速(CBDL),20039,200390010270,4.8,285,姚嘉泽
CBDL,2025,2025-26,全部,2,1,1,2,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,34691,2026-01-15,0,2,1003320593,广州龙狮(CBDL),20039,200390010279,4.7,281,姚嘉泽
CBDL,2025,2025-26,全部,2,3,6,9,1,0,1,3,4,1,2,0.5,0,0,0,1,2,0.5,0,0,0,0,0,0,34691,2026-01-14,1,1,1003320596,四川锦城(CBDL),20039,200390010283,15.5,931,姚嘉泽
CBDL,2025,2025-26,全部,16,1,3,4,3,0,1,1,1,5,7,0.7143,2,3,0.6667,2,3,0.6667,1,1,1,5,5,1,34962,2026-01-19,1,1,2010420235,深圳马可波罗(CBDL),20039,200390010267,23.4,1401,赵博新
CBDL,2025,2025-26,全部,9,1,5,6,0,0,3,1,3,4,8,0.5,4,6,0.6667,0,0,0,0,2,0,1,1,1,34962,2026-01-18,0,2,2010420237,山东高速(CBDL),20039,200390010270,19.4,1165,赵博新
CBDL,2025,2025-26,全部,16,5,9,14,3,0,1,0,2,8,15,0.5333,7,11,0.6364,1,2,0.5,0,2,0,0,0,0,34962,2026-01-17,0,2,2010420228,南京天之蓝CBDL,20039,200390010274,24.3,1458,赵博新
CBDL,2025,2025-26,全部,17,5,5,10,0,0,1,1,4,7,12,0.5833,6,10,0.6,0,1,0,1,1,1,2,4,0.5,34962,2026-01-15,0,2,1003320593,广州龙狮(CBDL),20039,200390010279,24.5,1468,赵博新
CBDL,2025,2025-26,全部,13,3,2,5,0,0,1,2,2,6,10,0.6,6,7,0.8571,0,2,0,0,1,0,1,1,1,34962,2026-01-14,1,1,1003320596,四川锦城(CBDL),20039,200390010283,19.5,1167,赵博新
CBDL,2025,2025-26,全部,14,2,7,9,0,2,6,2,2,5,8,0.625,5,6,0.8333,0,2,0,0,0,0,4,6,0.6667,34962,2026-01-13,1,1,1003320597,浙江稠州银行(CBDL),20039,200390010286,23.2,1393,赵博新
