_group,_leagueName,playerId,playerName,playerEnName,number,age,sex,teamId,teamName,position,height,weight,positionCn,leagueEventId,leagueEvent,seasonId,season,year,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),球员有效投篮命中率百分位排名,有效投篮命中率,球员篮下出手数百分位排名,篮下出手数,球员篮下命中率百分位排名,篮下命中率,球员中距离出手数百分位排名,中距离出手数,球员中距离命中率百分位排名,中距离命中率,球员三分出手数百分位排名,三分出手数,球员三分命中率百分位排名,三分命中率,罚球出手数百分位排名,罚球出手数,罚球命中率百分位排名,罚球命中率,底角三分出手数百分位排名,底角三分出手数,底角三分命中率百分位排名,底角三分命中率,非底角三分出手数百分位排名,非底角三分出手数,非底角三分命中率百分位排名,非底角三分命中率,球员短中距离出手数百分位排名,短中距离出手数,球员短中距离命中率百分位排名,短中距离命中率,球员长中距离出手数百分位排名,长中距离出手数,球员长中距离命中率百分位排名,长中距离命中率
CBDL,CBDL,34538,刘玄昱,,,15,,1003321308,中国U17,总和,,,,20039,CBDL,200809,2025-26,2025,7,2229,37.2,true,79.31,0.552632,6.9,3,0,0.333333,34.48,6,100,0.833333,44.83,10,72.41,0.3,34.48,5,100,1,0,,0,0,0,,0,0,0,,0,0,0,,0,0
CBDL,CBDL,34538,刘玄昱,Liu Xuanyu,15,15,,1003321308,中国U17,PF,200,92,大前锋,20039,CBDL,200809,2025-26,2025,4,1733,0.777,false,46.67,0.464286,6.67,3,0,0.333333,30,5,96.67,0.8,23.33,6,33.33,0.166667,33.33,5,100,1,26.67,1,0,0,33.33,5,46.67,0.2,46.67,5,93.33,0.8,0,0,0,0
CBDL,CBDL,34538,刘玄昱,Liu Xuanyu,15,15,,1003321308,中国U17,SF,200,92,小前锋,20039,CBDL,200809,2025-26,2025,2,491,0.22,false,100,0.8,0,0,0,0,9.38,1,100,1,0,4,100,0.5,0,0,0,0,34.38,3,65.63,0.333333,0,1,100,1,21.88,1,100,1,0,0,0,0
CBDL,CBDL,34538,刘玄昱,Liu Xuanyu,15,15,,1003321308,中国U17,C,200,92,中锋,20039,CBDL,200809,2025-26,2025,1,5,0.002,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBDL,CBDL,34644,谢方煜,Xie Fangyu,16,15,,1003321308,中国U17,总和,204,95,,20039,CBDL,200809,2025-26,2025,5,3004,50.1,true,13.79,0.384615,6.9,3,58.62,0.666667,13.79,2,0,0,34.48,8,58.62,0.25,3.45,2,100,1,48.28,3,79.31,0.333333,27.59,5,48.28,0.2,0,0,0,0,58.62,2,0,0
CBDL,CBDL,34644,谢方煜,Xie Fangyu,16,15,,1003321308,中国U17,PF,204,95,大前锋,20039,CBDL,200809,2025-26,2025,5,3004,1,false,13.33,0.384615,6.67,3,60,0.666667,13.33,2,0,0,33.33,8,60,0.25,6.67,2,100,1,46.67,3,76.67,0.333333,33.33,5,46.67,0.2,0,0,0,0,60,2,0,0
CBDL,CBDL,34991,张子一,Zhang Ziyi,17,15,,1003321308,中国U17,总和,208,100,,20039,CBDL,200809,2025-26,2025,6,4841,80.7,true,51.85,0.575,85.19,35,33.33,0.571429,48.15,5,92.59,0.6,0,0,0,0,85.19,21,51.85,0.714286,0,0,0,0,0,0,0,0,48.15,4,74.07,0.5,48.15,1,100,1
CBDL,CBDL,34991,张子一,Zhang Ziyi,17,15,,1003321308,中国U17,C,208,100,中锋,20039,CBDL,200809,2025-26,2025,6,4841,1,false,50,0.575,82.14,35,32.14,0.571429,46.43,5,92.86,0.6,0,0,0,0,85.71,21,50,0.714286,0,0,0,0,0,0,0,0,46.43,4,71.43,0.5,46.43,1,100,1
CBDL,CBDL,34691,姚嘉泽,Yao Jiayi,18,15,,1003321308,中国U17,总和,210,93,,20039,CBDL,200809,2025-26,2025,3,1497,25,true,92.59,0.666667,0,1,100,1,18.52,2,74.07,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,2,74.07,0.5,0,0,0,0
CBDL,CBDL,34691,姚嘉泽,Yao Jiayi,18,15,,1003321308,中国U17,C,210,93,中锋,20039,CBDL,200809,2025-26,2025,3,1497,1,false,89.29,0.666667,0,1,100,1,21.43,2,71.43,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.43,2,71.43,0.5,0,0,0,0
CBDL,CBDL,34962,赵博新,Zhao Boxin,19,15,,1003321308,中国U17,总和,214,100,,20039,CBDL,200809,2025-26,2025,6,8052,134.2,true,70.37,0.6,96.3,43,81.48,0.697674,77.78,10,44.44,0.3,66.67,7,66.67,0.285714,66.67,17,74.07,0.764706,0,0,0,0,66.67,7,70.37,0.285714,81.48,8,51.85,0.375,59.26,2,0,0
CBDL,CBDL,34962,赵博新,Zhao Boxin,19,15,,1003321308,中国U17,C,214,100,中锋,20039,CBDL,200809,2025-26,2025,6,8052,1,false,71.43,0.6,92.86,43,78.57,0.697674,75,10,42.86,0.3,64.29,7,64.29,0.285714,64.29,17,71.43,0.764706,0,0,0,0,71.43,7,67.86,0.285714,78.57,8,50,0.375,57.14,2,0,0
