_group,_leagueName,teamId,teamName,有效投篮命中率,篮下比重,篮下命中率,中距离比重,中距离命中率,三分比重,三分命中率,对手有效命中率,对手篮下比重,对手篮下命中率,对手中距离比重,对手中距离命中率,对手三分比重,对手三分命中率,篮下近距离比重,短中距离命中率,远中距离比重,长中距离命中率,底角三分比重,底角三分命中率,侧翼三分比重,非底角三分命中率,对手近距离比重,对手近距离命中率,对手远中距离比重,对手远中距离命中率,对手底角三分比重,对手底角三分命中率,对手侧翼三分比重,对手侧翼三分命中率,leagueEventId,leagueEvent,seasonId,season,year,playerId,playerName,playerEnName,number,age,sex,position,height,weight,positionCn,上场时间(分钟),上场时间(秒),onOff,球队比赛场次,球队eFG%百分位,球队篮下出手占比百分位排名,球队篮下命中率百分位排名,球队中距离出手占比百分位排名,球队中距离命中率百分位排名,球队三分出手占比百分位排名,球队三分命中率百分位排名,对手eFG%百分位,对手篮下出手占比百分位排名,对手篮下命中率百分位排名,对手中距离出手占比百分位排名,对手中距离命中率百分位排名,对手三分出手占比百分位排名,对手三分命中率百分位排名
CBDL,CBDL,1003321308,中国U17,0.533597,0.403162,0.607843,0.213439,0.351852,0.383399,0.371134,0.448936,0.387234,0.516484,0.26383,0.387097,0.348936,0.280488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,82212,张淳智,,,16,,,,,,148.5,8912,在场,,73.81,57.14,52.38,45.24,54.76,52.38,80.95,59.52,53.57,77.38,25,35.71,63.1,45.24
CBDL,CBDL,1003321308,中国U17,0.511765,0.364706,0.677419,0.182353,0.387097,0.452941,0.285714,0.485612,0.395683,0.509091,0.244604,0.323529,0.359712,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,82212,张淳智,,,16,,,,,,91.5,5488,不在场,,63.1,32.14,78.57,32.14,64.29,78.57,55.95,42.86,50,79.76,29.76,50,57.14,17.86
CBDL,CBDL,1003321308,中国U17,-0.013177,-0.048789,0.101295,0.109331,-0.041667,-0.060541,-0.030146,-0.211684,-0.021316,-0.149516,0.079197,-0.041667,-0.057881,-0.280015,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34995,吕飞燕,,,15,,,,,,240.1,,差值,,39.33,26,87.33,100,30.67,24,37.33,98.67,62,91.33,3.33,64.67,81.33,99.33
CBDL,CBDL,1003321308,中国U17,0.513889,0.347222,0.72,0.291667,0.333333,0.361111,0.307692,0.293333,0.373333,0.392857,0.32,0.333333,0.306667,0.086957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34995,吕飞燕,,,15,,,,,,45.5,2727,不在场,,64.29,20.24,84.52,86.9,51.19,44.05,65.48,100,61.9,95.24,8.33,48.81,79.76,100
CBDL,CBDL,1003321308,中国U17,0.527066,0.396011,0.618705,0.182336,0.375,0.421652,0.337838,0.505017,0.394649,0.542373,0.240803,0.375,0.364548,0.366972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34995,吕飞燕,,,15,,,,,,194.6,11673,在场,,66.67,50,57.14,32.14,60.71,65.48,73.81,38.1,50,69.05,34.52,39.29,54.76,21.43
CBDL,CBDL,1003321308,中国U17,-0.01794,0.123379,-0.065041,-0.020371,0.030172,-0.103009,-0.032745,0.158462,-0.02156,-0.025457,-0.060367,0.094444,0.081926,0.284722,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,36317,张懿赵杰,,,15,,,,,,240,,差值,,37.33,98.67,22.67,31.33,60.67,7.33,36,2,62.67,61.33,87.33,21.33,9.33,0
CBDL,CBDL,1003321308,中国U17,0.519097,0.427083,0.617886,0.194444,0.375,0.378472,0.321101,0.513834,0.383399,0.505155,0.237154,0.4,0.379447,0.395833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,36317,张懿赵杰,,,15,,,,,,161,9658,不在场,,64.29,70.24,57.14,36.9,60.71,50,70.24,35.71,57.14,79.76,36.9,33.33,50,16.67
CBDL,CBDL,1003321308,中国U17,0.537037,0.303704,0.682927,0.214815,0.344828,0.481481,0.353846,0.355372,0.404959,0.530612,0.297521,0.305556,0.297521,0.111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,36317,张懿赵杰,,,15,,,,,,79,4742,在场,,73.81,9.52,79.76,45.24,54.76,89.29,75,91.67,42.86,73.81,11.9,59.52,83.33,97.62
CBDL,CBDL,1003321308,中国U17,-0.012055,-0.058948,-0.029602,0.040928,0.012681,0.01802,0.013794,0.025928,0.026846,0.123718,-0.07962,-0.035715,0.052774,-0.047103,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34608,孙陈鹏,,,15,,,,,,240,,差值,,40,22.67,37.33,81.33,53.33,60.67,58.67,34,33.33,8.67,90.67,62.67,17.33,68.67
CBDL,CBDL,1003321308,中国U17,0.526761,0.397183,0.638298,0.194366,0.362319,0.408451,0.331034,0.458199,0.385852,0.491667,0.270096,0.369048,0.344051,0.327103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34608,孙陈鹏,,,15,,,,,,199.3,11960,在场,,66.67,51.19,69.05,36.9,57.14,64.29,70.24,52.38,55.95,83.33,20.24,40.48,65.48,29.76
