_group,_seasonYear,_season,playerId,playerName,teamId,leagueEventId,seasonId,stageType,gameMode,opponentId,对手,胜负,playerEnName,number,position,上场时间(秒),上场时间(分钟),scheduleId,gameStart,date,出场次数,首发次数,单场正负值百分位排名,单场正负值,球权使用率百分位排名,球权使用率,真实投篮命中率百分位排名,真实投篮命中率,助攻率百分位排名,助攻率,失误率百分位排名,失误率,抢断率,抢断率百分位排名,盖帽率,盖帽率百分位排名,进攻篮板率,进攻篮板率百分位排名,防守篮板率,防守篮板率百分位排名,防守投篮出手数,防守投篮未命中数,防守投篮被命中数,防守投篮命中率
CBDL,2025,2025-26,82168,涂瀚之,1003321308,20039,200809,,2,1003320593,广州龙狮(CBDL),2,Tu Hanzhi,10,SF,1213,20.2,200390010279,0,2026-01-15,1,0,82.73,6.94,0,0.085766,59.38,0.531915,71.88,0.142857,100,0,0.106202,100,0,0,0,0,0,0,1,0,1,1
CBDL,2025,2025-26,82168,涂瀚之,1003321308,20039,200809,,2,1003320596,四川锦城(CBDL),1,Tu Hanzhi,10,SF,710,11.8,200390010283,0,2026-01-14,1,0,28.59,0.65,0,0.075643,53.13,0.5,81.25,0.166667,100,0,0,0,0,0,0,0,0.0625,3.13,1,1,0,0
CBDL,2025,2025-26,82168,涂瀚之,1003321308,20039,200809,,2,1003320597,浙江稠州银行(CBDL),1,Tu Hanzhi,10,SF,925,15.4,200390010286,0,2026-01-13,1,0,53.56,3.3,18.75,0.144844,53.13,0.5,81.25,0.181818,100,0,0.031075,84.38,0,0,0.071429,81.25,0.142857,78.13,1,0,1,1
CBDL,2025,2025-26,82212,张淳智,1003321308,20039,200809,,2,2010420228,南京天之蓝CBDL,2,Zhang Chunzhi,11,SF,1506,25.1,200390010274,1,2026-01-17,1,0,85.63,7.51,90.63,0.252374,100,0.776398,0,0,78.13,0.134409,0,0,0,0,0.034483,50,0.304348,100,7,3,4,0.571429
CBDL,2025,2025-26,82212,张淳智,1003321308,20039,200809,,2,1003320593,广州龙狮(CBDL),2,Zhang Chunzhi,11,SF,1627,27.1,200390010279,1,2026-01-15,1,0,32.08,1.15,18.75,0.143221,53.13,0.5,81.25,0.176471,18.75,0.222222,0,0,0,0,0.129032,93.75,0.235294,100,3,2,1,0.333333
CBDL,2025,2025-26,82212,张淳智,1003321308,20039,200809,,2,1003320596,四川锦城(CBDL),1,Zhang Chunzhi,11,SF,1418,23.6,200390010283,1,2026-01-14,1,0,71.7,5.42,12.5,0.132898,100,0.93985,18.75,0.0625,3.13,0.273224,0,0,0.083333,100,0.15,100,0.111111,46.88,6,4,2,0.333333
CBDL,2025,2025-26,82212,张淳智,1003321308,20039,200809,,2,1003320597,浙江稠州银行(CBDL),1,Zhang Chunzhi,11,SF,937,15.6,200390010286,1,2026-01-13,1,0,20.75,0,71.88,0.211864,0,0.25,87.5,0.2,100,0,0,0,0.047619,93.75,0.176471,100,0.105263,40.63,5,4,1,0.2
CBDL,2025,2025-26,34995,吕飞燕,1003321308,20039,200809,,2,2010420235,深圳马可波罗(CBDL),1,Lv Feiyan,12,SF,755,12.6,200390010267,1,2026-01-19,1,0,49.64,2.8,18.75,0.155028,100,0.900901,0,0,100,0,0,0,0,0,0,0,0.071429,12.5,1,1,0,0
CBDL,2025,2025-26,34995,吕飞燕,1003321308,20039,200809,,2,1003320596,四川锦城(CBDL),1,Lv Feiyan,12,SF,862,14.4,200390010283,0,2026-01-14,1,0,15.82,-0.54,18.75,0.14758,0,0.25,71.88,0.142857,25,0.2,0.035841,90.63,0.052632,96.88,0.071429,81.25,0,0,1,0,1,1
CBDL,2025,2025-26,34995,吕飞燕,1003321308,20039,200809,,2,1003320597,浙江稠州银行(CBDL),1,Lv Feiyan,12,SF,1110,18.5,200390010286,0,2026-01-13,1,0,12.92,-0.9,43.75,0.184061,0,0.221893,28.13,0.076923,78.13,0.128866,0.027541,78.13,0,0,0,0,0,0,3,2,1,0.333333
CBDL,2025,2025-26,36317,张懿赵杰,1003321308,20039,200809,,2,2010420235,深圳马可波罗(CBDL),1,Zhang Yizhaojie,13,PF,1008,16.8,200390010267,1,2026-01-19,1,0,64.15,4.5,66.67,0.218341,96.67,0.714286,93.33,0.2,50,0.125,0,0,0.047619,96.67,0.071429,56.67,0.277778,100,2,2,0,0
