teamId,teamName,有效投篮命中率,篮下比重,篮下命中率,中距离比重,中距离命中率,三分比重,三分命中率,对手有效命中率,对手篮下比重,对手篮下命中率,对手中距离比重,对手中距离命中率,对手三分比重,对手三分命中率,篮下近距离比重,短中距离命中率,远中距离比重,长中距离命中率,底角三分比重,底角三分命中率,侧翼三分比重,非底角三分命中率,对手近距离比重,对手近距离命中率,对手远中距离比重,对手远中距离命中率,对手底角三分比重,对手底角三分命中率,对手侧翼三分比重,对手侧翼三分命中率,leagueEventId,leagueEvent,seasonId,season,year,playerId,playerName,playerEnName,number,age,sex,position,height,weight,positionCn,上场时间(分钟),上场时间(秒),onOff,球队比赛场次,球队eFG%百分位,球队篮下出手占比百分位排名,球队篮下命中率百分位排名,球队中距离出手占比百分位排名,球队中距离命中率百分位排名,球队三分出手占比百分位排名,球队三分命中率百分位排名,对手eFG%百分位,对手篮下出手占比百分位排名,对手篮下命中率百分位排名,对手中距离出手占比百分位排名,对手中距离命中率百分位排名,对手三分出手占比百分位排名,对手三分命中率百分位排名,scheduleId,gameStart,出场次数,时间段,_group
1003320453,清华大学,0.375,0.3125,0.6,0.375,0,0.3125,0.4,0.210526,0.368421,0.428571,0.368421,0.142857,0.263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,93035,李瑜婧,,21,21,,SF,,,小前锋,8.5,508,,,,,,,,,,,,,,,,,,0,1,Q1,homeTeamPlayerList
1003320453,清华大学,0.3,0.333333,0.6,0.4,0,0.266667,0.25,0.1875,0.375,0.333333,0.375,0.166667,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32071,张涛,,11,21,,PF,,,大前锋,7.7,461,,,,,,,,,,,,,,,,,,0,1,Q1,homeTeamPlayerList
1003320453,清华大学,0.461538,0.384615,0.6,0.384615,0,0.230769,0.666667,0.34375,0.375,0.5,0.375,0.166667,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32067,高梓悦,,16,21,,C,,,中锋,7.2,431,,,,,,,,,,,,,,,,,,0,1,Q1,homeTeamPlayerList
1003320453,清华大学,0.428571,0.357143,0.6,0.428571,0,0.214286,0.666667,0.235294,0.411765,0.428571,0.352941,0.166667,0.235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32064,王小青,,5,22,,PG,,,控球后卫,6.9,411,,,,,,,,,,,,,,,,,,0,1,Q1,homeTeamPlayerList
1003320453,清华大学,0.375,0.416667,0.6,0.416667,0,0.166667,0.5,0.321429,0.357143,0.4,0.357143,0.2,0.285714,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32072,吴语桐,,4,20,,SG,,,得分后卫,6.7,400,,,,,,,,,,,,,,,,,,0,1,Q1,homeTeamPlayerList
1003320453,清华大学,0,0.4,0,0.2,0,0.4,0,0.214286,0.142857,0,0.428571,0,0.428571,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,40730,李嘉琳,,2,19,,SF,,,小前锋,4.2,254,,,,,,,,,,,,,,,,,,0,1,Q1,homeTeamPlayerList
1003320453,清华大学,0.375,0.25,0,0,0,0.75,0.333333,0.416667,0.166667,1,0.5,0,0.333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80514,王镘淋,,9,21,,PG,,,控球后卫,3.8,227,,,,,,,,,,,,,,,,,,0,1,Q1,homeTeamPlayerList
1003320453,清华大学,0,0.25,0,0.25,0,0.5,0,0,0.2,0,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,88706,孙楷文,,15,18,,C,,,中锋,2.8,169,,,,,,,,,,,,,,,,,,0,1,Q1,homeTeamPlayerList
1003320453,清华大学,0.75,0.5,0,0,0,0.5,1,0.5,0.2,1,0.4,0,0.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,92064,刘琦,,6,20,,PF,,,大前锋,2.3,139,,,,,,,,,,,,,,,,,,0,1,Q1,homeTeamPlayerList
1003320449,北京大学,0.323529,0.352941,0.5,0.411765,0.142857,0.235294,0.25,0.461538,0.384615,0.6,0.230769,0,0.384615,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32005,王家绘,,11,22,,SF,,,小前锋,8.3,496,,,,,,,,,,,,,,,,,,0,1,Q1,awayTeamPlayerList
1003320449,北京大学,0.269231,0.153846,0.5,0.538462,0.142857,0.307692,0.25,0.307692,0.307692,0.25,0.384615,0,0.307692,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80546,陈怡静,,21,21,,PF,,,大前锋,7.8,465,,,,,,,,,,,,,,,,,,0,1,Q1,awayTeamPlayerList
1003320449,北京大学,0.1875,0.375,0.333333,0.3125,0.2,0.3125,0,0.346154,0.384615,0.6,0.461538,0,0.153846,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80550,伍湘琳,,10,22,,PG,,,控球后卫,6.6,393,,,,,,,,,,,,,,,,,,0,1,Q1,awayTeamPlayerList
1003320449,北京大学,0.277778,0.222222,0.5,0.444444,0,0.333333,0.333333,0.1875,0.25,0,0.375,0,0.375,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80548,罗巧梅,,7,21,,PG,,,控球后卫,5.2,311,,,,,,,,,,,,,,,,,,0,1,Q1,awayTeamPlayerList
