_group,_leagueName,playerId,playerName,playerEnName,number,age,sex,teamId,teamName,position,height,weight,positionCn,leagueEventId,leagueEvent,seasonId,season,year,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),进攻篮板率百分位排名,进攻篮板率,防守篮板率百分位排名,防守篮板率,抢断率百分位排名,抢断率,盖帽率百分位排名,盖帽率,犯规率百分位排名,犯规率,防守投篮出手数百分位排名,防守投篮出手数,防守投篮出手总数,防守投篮未命中数,防守投篮被命中数,防守投篮命中率百分位排名,防守投篮命中率,_playerName
CUBAL一级联赛,CUBAL一级联赛,92064,刘琦,Liu Qi,3,19,,1003320453,清华大学,PF,189,80,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,16,12315,0.854,false,95.37,0.135,75.93,0.166667,45.37,0.020677,83.33,0.027624,98.15,0.010339,45.45,29,29,18,11,75.76,0.37931,
CUBAL一级联赛,CUBAL一级联赛,92064,刘琦,Liu Qi,3,19,,1003320453,清华大学,C,189,80,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,7,2113,0.146,false,100,0.257143,99.15,0.272727,87.18,0.031807,88.03,0.04878,72.65,0.031807,,7,7,4,3,,0.428571,
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,,,21,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,23,13288,221.5,true,98.63,0.138249,82.88,0.138075,98.64,0.064093,55.48,0.004808,6.8,0.059345,,1,1,1,0,,0,
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,Yuan Xinyue,7,21,,1003320453,清华大学,SF,181,75,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,12,10014,0.754,false,100,0.170732,73.47,0.120879,100,0.078465,61.9,0.006579,4.76,0.062772,,1,1,1,0,,0,
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,Yuan Xinyue,7,21,,1003320453,清华大学,PF,181,75,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,9,3134,0.236,false,12.84,0.039216,95.27,0.203704,45.27,0.02003,0,0,40.54,0.040059,,0,0,0,0,,,
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,Yuan Xinyue,7,21,,1003320453,清华大学,SG,181,75,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,1,84,0.006,false,0,0,0,0,0,0,0,0,100,0,,0,0,0,0,,,
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,Yuan Xinyue,7,21,,1003320453,清华大学,C,181,75,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,1,56,0.004,false,0,0,0,0,0,0,0,0,100,0,,0,0,0,0,,,
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,,,20,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200267,2023-24,2023,27,17549,292.5,true,85.12,0.082192,61.98,0.118705,90.16,0.046045,73.55,0.012658,27.05,0.046045,41.84,19,19,6,13,8.16,0.684211,
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,Yuan Xinyue,7,20,,1003320453,清华大学,SF,181,74,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,18,15359,0.875,false,86.89,0.084,64.75,0.121849,87.7,0.041777,80.33,0.014151,22.13,0.048374,17.17,15,15,4,11,3.03,0.733333,
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,Yuan Xinyue,7,20,,1003320453,清华大学,PF,181,74,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,9,2190,0.125,false,57.41,0.071429,27.78,0.1,100,0.075264,0,0,62.96,0.030106,,4,4,2,2,,0.5,
