_group,_leagueName,playerId,playerName,playerEnName,number,age,sex,teamId,teamName,position,height,weight,positionCn,leagueEventId,leagueEvent,seasonId,season,year,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),球员有效投篮命中率百分位排名,有效投篮命中率,球员篮下出手数百分位排名,篮下出手数,球员篮下命中率百分位排名,篮下命中率,球员中距离出手数百分位排名,中距离出手数,球员中距离命中率百分位排名,中距离命中率,球员三分出手数百分位排名,三分出手数,球员三分命中率百分位排名,三分命中率,罚球出手数百分位排名,罚球出手数,罚球命中率百分位排名,罚球命中率,底角三分出手数百分位排名,底角三分出手数,底角三分命中率百分位排名,底角三分命中率,非底角三分出手数百分位排名,非底角三分出手数,非底角三分命中率百分位排名,非底角三分命中率,球员短中距离出手数百分位排名,短中距离出手数,球员短中距离命中率百分位排名,短中距离命中率,球员长中距离出手数百分位排名,长中距离出手数,球员长中距离命中率百分位排名,长中距离命中率,_playerName
CUBAL一级联赛,CUBAL一级联赛,32064,王小青,Wang Xiaoqing,5,21,,1003320453,清华大学,总和,170,67,,20005,CUBAL一级联赛,200267,2023-24,2023,18,23083,384.7,true,98.02,0.542683,74.26,22,45.54,0.5,16.83,8,36.63,0.25,82.18,52,97.03,0.403846,58.42,13,49.5,0.538462,49.5,3,80.2,0.333333,86.14,49,92.08,0.408163,16.83,6,58.42,0.333333,29.7,2,0,0,
CUBAL一级联赛,CUBAL一级联赛,32064,王小青,Wang Xiaoqing,5,21,,1003320453,清华大学,PG,170,67,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,18,23083,1,false,97.06,0.542683,74.51,22,45.1,0.5,16.67,8,36.27,0.25,81.37,52,96.08,0.403846,57.84,13,49.02,0.538462,49.02,3,80.39,0.333333,85.29,49,91.18,0.408163,23.53,6,57.84,0.333333,36.27,2,0,0,
CUBAL一级联赛,CUBAL一级联赛,32064,王小青,Wang Xiaoqing,5,20,,1003320453,清华大学,总和,170,67,,20005,CUBAL一级联赛,200069,2022-23,2022,1,2129,35.5,true,94.12,0.538462,29.41,4,82.35,0.75,17.65,3,58.82,0.333333,11.76,6,76.47,0.333333,0,0,0,0,0,0,0,0,29.41,6,82.35,0.333333,41.18,3,58.82,0.333333,0,0,0,0,
CUBAL一级联赛,CUBAL一级联赛,32064,王小青,Wang Xiaoqing,5,20,,1003320453,清华大学,PG,170,67,控球后卫,20005,CUBAL一级联赛,200069,2022-23,2022,1,2129,1,false,88.89,0.538462,27.78,4,77.78,0.75,16.67,3,55.56,0.333333,16.67,6,72.22,0.333333,0,0,0,0,0,0,0,0,27.78,6,77.78,0.333333,38.89,3,55.56,0.333333,0,0,0,0,
CUBAL一级联赛,CUBAL一级联赛,92064,刘琦,,,20,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,30,20257,337.6,true,57.82,0.421053,64.63,27,95.92,0.777778,78.91,26,69.39,0.346154,96.6,61,52.38,0.196721,77.55,20,76.87,0.7,0,,0,0,0,,0,0,0,,0,0,0,,0,0,
CUBAL一级联赛,CUBAL一级联赛,92064,刘琦,Liu Qi,6,20,,1003320453,清华大学,PF,189,80,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,17,15145,0.748,false,61.49,0.439024,52.03,21,97.3,0.857143,68.92,20,55.41,0.3,89.86,41,52.03,0.195122,67.57,16,76.35,0.6875,87.16,5,0,0,88.51,34,65.54,0.235294,73.65,15,33.11,0.2,49.32,2,87.16,0.5,
CUBAL一级联赛,CUBAL一级联赛,92064,刘琦,Liu Qi,6,20,,1003320453,清华大学,C,189,80,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,12,4915,0.243,false,40.97,0.387097,18.06,6,43.06,0.5,24.31,6,93.06,0.5,88.89,19,76.39,0.210526,24.31,4,80.56,0.75,93.06,4,90.97,0.25,89.58,15,77.08,0.2,39.58,6,89.58,0.5,0,0,0,0,
CUBAL一级联赛,CUBAL一级联赛,92064,刘琦,Liu Qi,6,20,,1003320453,清华大学,SF,189,80,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,1,197,0.01,false,0,0,0,0,0,0,0,0,0,0,5.44,1,0,0,0,0,0,0,24.49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CUBAL一级联赛,CUBAL一级联赛,92064,刘琦,,,19,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200267,2023-24,2023,23,14428,240.5,true,70.09,0.466102,68.22,24,68.22,0.625,45.79,15,98.13,0.533333,71.03,20,49.53,0.15,49.53,10,91.59,0.9,0,,0,0,0,,0,0,0,,0,0,0,,0,0,
CUBAL一级联赛,CUBAL一级联赛,92064,刘琦,Liu Qi,3,19,,1003320453,清华大学,PF,189,80,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,16,12315,0.854,false,70.37,0.46875,51.85,19,60.19,0.578947,42.59,13,99.07,0.538462,63.89,16,60.19,0.1875,42.59,8,89.81,0.875,61.11,2,0,0,67.59,14,65.74,0.214286,42.59,10,87.04,0.5,42.59,3,93.52,0.666667,
CUBAL一级联赛,CUBAL一级联赛,92064,刘琦,Liu Qi,3,19,,1003320453,清华大学,C,189,80,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,7,2113,0.146,false,58.12,0.454545,8.55,5,94.02,0.8,2.56,2,93.16,0.5,63.25,4,0,0,11.11,2,100,1,87.18,2,0,0,58.12,2,0,0,5.13,2,87.18,0.5,0,0,0,0,
