_group,_leagueName,上场时间(秒),上场时间(分钟),出场次数,打法类型,得分,每回合得分,打法类型回合数,篮下出手数,篮下命中数,篮下未命中数,中距离出手数,中距离命中数,中距离未命中数,三分出手数,三分命中数,三分未命中数,失误,有效投篮命中率,篮下比重,中距离比重,三分比重,失误占比,造罚球回合数,造罚球占比,playerId,playerName,playerEnName,number,age,sex,teamId,teamName,position,height,weight,positionCn,leagueEventId,leagueEvent,seasonId,season,year,每100回合打法使用次数,每36分钟打法使用次数,每36分钟打法使用次数百分位排名,每100回合打法使用次数百分位排名,球员每回合得分百分位排名,球员有效投篮命中率百分位排名,球员篮下出手占比百分位排名,球员中距离出手占比百分位排名,球员三分出手占比百分位排名,球员失误占比百分位排名,球员造罚球占比百分位排名,_playerName
CUBAL一级联赛,CUBAL一级联赛,27487,458.1,17,Transition,44,0.7719,57,24,14,10,4,1,3,15,3,12,12,0.453488,0.5581,0.093,0.3488,0.2105,2,0.0351,32064,王小青,Wang Xiaoqing,5,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,6.4668,4.4794,53.69,57.6,38.02,36.18,47.47,27.19,74.19,34.1,29.26,
CUBAL一级联赛,CUBAL一级联赛,27487,458.1,17,P&R-Ball-Handler,21,0.6774,31,10,4,6,3,0,3,6,3,3,8,0.447368,0.5263,0.1579,0.3158,0.2581,4,0.129,32064,王小青,Wang Xiaoqing,5,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,3.5171,2.4361,26.63,27.81,66.86,75.15,83.43,18.34,43.2,33.73,82.25,
CUBAL一级联赛,CUBAL一级联赛,27487,458.1,17,Isolation,0,0,3,0,0,0,1,0,1,2,0,2,0,0,0,0.3333,0.6667,0,0,0,32064,王小青,Wang Xiaoqing,5,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,0.3404,0.2358,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,27487,458.1,17,Spot-Up,50,1.1111,45,1,1,0,4,3,1,37,14,23,3,0.595238,0.0238,0.0952,0.881,0.0667,0,0,32064,王小青,Wang Xiaoqing,5,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,5.1054,3.5363,13.42,14.5,97.4,95.45,22.29,22.08,88.31,81.6,0,
CUBAL一级联赛,CUBAL一级联赛,27487,458.1,17,Off-Screen,21,1.75,12,1,0,1,1,0,1,10,7,3,0,0.875,0.0833,0.0833,0.8333,0,0,0,32064,王小青,Wang Xiaoqing,5,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,1.3614,0.943,2.94,2.94,100,100,41.18,23.53,80.88,100,0,
CUBAL一级联赛,CUBAL一级联赛,27487,458.1,17,Hand-Off,4,0.8,5,2,1,1,1,0,1,1,0,1,0,0.25,0.5,0.25,0.25,0,1,0.2,32064,王小青,Wang Xiaoqing,5,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,0.5673,0.3929,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,27487,458.1,17,Cut,8,1.6,5,2,2,0,2,1,1,0,0,0,0,0.75,0.5,0.5,0,0,1,0.2,32064,王小青,Wang Xiaoqing,5,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,0.5673,0.3929,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,27487,458.1,17,P&R-Roll-Man,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,32064,王小青,Wang Xiaoqing,5,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,0.1135,0.0786,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,27487,458.1,17,Put-Backs,4,1.3333,3,0,0,0,0,0,0,1,1,0,1,1.5,0,0,1,0.3333,1,0.3333,32064,王小青,Wang Xiaoqing,5,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,0.3404,0.2358,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,27487,458.1,17,Miscellaneous,3,0.25,12,0,0,0,0,0,0,2,1,1,10,0.75,0,0,1,0.8333,0,0,32064,王小青,Wang Xiaoqing,5,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,1.3614,0.943,0,0,51.18,81.1,0,0,100,25.2,0,
