_group,_leagueName,teamId,teamName,得分,对手得分,打法类型,该打法占比,每回合得分,打法类型回合数,篮下出手数,篮下命中数,篮下未命中数,中距离出手数,中距离命中数,中距离未命中数,三分出手数,三分命中数,三分未命中数,有效投篮命中率,篮下比重,中距离比重,三分比重,失误,失误占比,造罚球回合数,造罚球占比,对手该打法回合数,对手篮下出手数,对手篮下命中数,对手篮下未命中数,对手中距离出手数,对手中距离命中数,对手中距离未命中数,对手三分出手数,对手三分命中数,对手三分未命中数,对手该打法占比,对手每回合得分,对手有效命中率,对手篮下比重,对手中距离比重,对手三分比重,对手失误,对手失误占比,对手造罚球回合数,对手造罚球占比,leagueEventId,leagueEvent,seasonId,season,year,playerId,playerName,playerEnName,number,age,sex,position,height,weight,positionCn,lineups,上场时间(秒),上场时间(分钟),每回合得分百分位排名,打法占比百分位排名,球队eFG%百分位,球队篮下出手占比百分位排名,球队中距离出手占比百分位排名,球队三分出手占比百分位排名,失误占比百分位排名,造罚球占比百分位排名,对手每回合得分百分位排名,对手打法占比百分位排名,对手eFG%百分位,对手篮下出手占比百分位排名,对手中距离出手占比百分位排名,对手三分出手占比百分位排名,对手失误占比百分位排名,对手造罚球占比百分位排名,onOff
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0,,Transition,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,32073,,,17,22,2,,183,84,,,0,0,0,0,0,0,0,0,100,0,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,382,,Transition,0.2466,0.9139,418,176,,53,46,20,26,99,30,69,0.5875,0.5483,0.1433,0.3084,62,0.1483,36,0.0861,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,32073,,,17,22,2,,183,84,,,41400,690,57.6,65.9,68.2,43.82,40.28,73.85,57.07,54.24,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,,,Transition,-0.2466,-0.9139,,,,,,,,,,,-0.5875,-0.5483,-0.1433,-0.3084,,-0.1483,,-0.0861,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,32073,,,17,22,2,,183,84,,,,,2.96,21.07,2.77,16.6,24.9,3.72,79.1,16.6,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0,,Transition,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200069,2022-23,2022,32073,,,9,20,2,,183,84,,,0,0,0,0,0,0,0,0,100,0,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,10,,Transition,0.1782,0.5556,18,9,,4,3,0,3,4,0,4,0.3125,0.5625,0.1875,0.25,1,0.0556,1,0.0556,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200069,2022-23,2022,32073,,,9,20,2,,183,84,,,2400,40,25.71,34.29,8.57,62.86,28.57,48.57,100,51.43,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,,,Transition,-0.1782,-0.5556,,,,,,,,,,,-0.3125,-0.5625,-0.1875,-0.25,,-0.0556,,-0.0556,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200069,2022-23,2022,32073,,,9,20,2,,183,84,,,,,22.99,15.43,30.48,5.35,24.6,21.39,52.94,27.27,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,8,,Transition,0.3043,1.1429,7,4,,1,1,1,0,2,0,2,0.571429,0.5714,0.1429,0.2857,0,0,0,0,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,32073,,,99,21,2,,183,84,,,704,11.7,82.73,86.74,66.98,65.46,24.86,62.43,100,0,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,261,,Transition,0.1656,1.0116,258,112,,30,33,15,18,57,22,35,0.643564,0.5545,0.1634,0.2822,39,0.1512,17,0.0659,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,32073,,,99,21,2,,183,84,,,40096,668.3,70.64,29.73,77.65,62.12,29.73,61.74,58.52,46.02,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,,,Transition,0.1387,0.1313,,,,,,,,,,,-0.0721,0.0169,-0.0205,0.0035,,-0.1512,,-0.0659,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,32073,,,99,21,2,,183,84,,,,,79.21,99.78,43.11,63.35,56.24,61.16,79.98,26.26,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,122,,Transition,0.2287,0.7821,156,65,,24,21,6,15,36,9,27,0.495902,0.5328,0.1721,0.2951,22,0.141,12,0.0769,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,93035,,,21,21,2,,177,74,,,16592,276.5,42.4,58.13,43.29,39.58,46.29,70.67,60.6,49.91,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,263,,Transition,0.2605,0.9887,266,112,,29,25,14,11,63,21,42,0.645729,0.56,0.125,0.315,40,0.1504,27,0.1015,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,93035,,,21,21,2,,177,74,,,24808,413.5,66.08,71.2,77.92,46.19,34.16,74.56,56.71,63.6,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,,,Transition,-0.0318,-0.2066,,,,,,,,,,,-0.1498,-0.0272,0.0471,-0.0199,,-0.0094,,-0.0246,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,93035,,,21,21,2,,177,74,,,,,36.16,21.07,33.21,54.87,74.14,57.16,41.32,49.43,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,65,,Transition,0.2523,1.1818,55,24,,5,8,6,2,17,5,12,0.663265,0.4898,0.1633,0.3469,5,0.0909,1,0.0182,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,93035,,,21,20,2,,177,74,,,6035,100.6,85.04,72.54,79.92,47.92,29.73,76.52,80.65,23.48,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,204,,Transition,0.154,0.9714,210,92,,26,26,10,16,42,17,25,0.634375,0.575,0.1625,0.2625,34,0.1619,16,0.0762,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,93035,,,21,20,2,,177,74,,,34765,579.4,64.39,25.19,76.33,66.1,29.73,57.2,53.03,51.52,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,,,Transition,0.0983,0.2104,,,,,,,,,,,0.0289,-0.0852,0.0008,0.0844,,-0.071,,-0.058,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,93035,,,21,20,2,,177,74,,,,,86.76,99.78,66.63,41.9,60.94,80.31,63.35,31.18,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0,,Transition,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,80516,,,24,21,2,,188,86,,,0,0,0,0,0,0,0,0,100,0,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,382,,Transition,0.2466,0.9139,418,176,,53,46,20,26,99,30,69,0.5875,0.5483,0.1433,0.3084,62,0.1483,36,0.0861,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,80516,,,24,21,2,,188,86,,,41400,690,57.6,65.9,68.2,43.82,40.28,73.85,57.07,54.24,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,,,Transition,-0.2466,-0.9139,,,,,,,,,,,-0.5875,-0.5483,-0.1433,-0.3084,,-0.1483,,-0.0861,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,80516,,,24,21,2,,188,86,,,,,2.96,21.07,2.77,16.6,24.9,3.72,79.1,16.6,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0,,Transition,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,80516,,,24,20,2,,188,86,,,0,0,0,0,0,0,0,0,100,0,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,269,,Transition,0.1676,1.0151,265,116,,31,34,16,18,59,22,37,0.641148,0.555,0.1627,0.2823,39,0.1472,17,0.0642,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,80516,,,24,20,2,,188,86,,,40800,680,70.64,30.3,76.7,62.12,29.73,61.74,60.23,45.27,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,,,Transition,-0.1676,-1.0151,,,,,,,,,,,-0.6411,-0.555,-0.1627,-0.2823,,-0.1472,,-0.0642,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,80516,,,24,20,2,,188,86,,,,,0.22,19.67,0.22,5.91,25.93,11.05,78.99,27.13,,,,,,,,,差值
