_group,_leagueName,teamId,teamName,有效投篮命中率,篮下比重,篮下命中率,中距离比重,中距离命中率,三分比重,三分命中率,对手有效命中率,对手篮下比重,对手篮下命中率,对手中距离比重,对手中距离命中率,对手三分比重,对手三分命中率,篮下近距离比重,短中距离命中率,远中距离比重,长中距离命中率,底角三分比重,底角三分命中率,侧翼三分比重,非底角三分命中率,对手近距离比重,对手近距离命中率,对手远中距离比重,对手远中距离命中率,对手底角三分比重,对手底角三分命中率,对手侧翼三分比重,对手侧翼三分命中率,leagueEventId,leagueEvent,seasonId,season,year,playerId,playerName,playerEnName,number,age,sex,position,height,weight,positionCn,上场时间(分钟),上场时间(秒),onOff,球队比赛场次,球队eFG%百分位,球队篮下出手占比百分位排名,球队篮下命中率百分位排名,球队中距离出手占比百分位排名,球队中距离命中率百分位排名,球队三分出手占比百分位排名,球队三分命中率百分位排名,对手eFG%百分位,对手篮下出手占比百分位排名,对手篮下命中率百分位排名,对手中距离出手占比百分位排名,对手中距离命中率百分位排名,对手三分出手占比百分位排名,对手三分命中率百分位排名,_playerName
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.546346,0.438503,0.678862,0.254902,0.398601,0.306595,0.319767,0.35363,0.238876,0.460784,0.358314,0.267974,0.40281,0.244186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,32071,张涛,,,20,,,,,,303.1,18186,在场,,90.45,83.71,77.72,24.72,81.09,38.39,77.34,70.22,72.28,76.59,40.26,61.42,26.03,50.56,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.021794,-0.194271,-0.126316,0.07472,0.25,0.119552,0.136364,-0.245478,-0.113696,-0.115789,0.015504,0.066667,0.098191,-0.888889,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200069,2022-23,2022,32071,张涛,,,19,,,,,,40,,差值,,60,3.33,17.78,83.33,91.11,85.56,78.89,97.78,84.44,78.89,48.89,35.56,17.78,100,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.294521,0.260274,0.473684,0.438356,0.25,0.30137,0.136364,0.476744,0.44186,0.684211,0.348837,0.4,0.209302,0.111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200069,2022-23,2022,32071,张涛,,,19,,,,,,34.2,2051,不在场,,8.93,75.89,75.89,95.54,79.46,33.93,15.18,31.25,5.36,2.68,13.39,6.25,89.29,92.86,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.272727,0.454545,0.6,0.363636,0,0.181818,0,0.722222,0.555556,0.8,0.333333,0.333333,0.111111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200069,2022-23,2022,32071,张涛,,,19,,,,,,5.8,349,在场,,6.25,95.54,90.18,89.29,0,4.46,0,0.89,0.89,0,15.18,10.71,100,0,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,-0.00593,-0.043972,0.118932,-0.058826,-0.016888,0.102797,-0.061077,0.003594,-0.01127,0.095423,-0.113397,0.06386,0.124668,-0.051628,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,32074,王思文,,,23,,,,,,690,,差值,,45.85,24.93,88.54,17.62,42.69,91.55,20.06,46.28,56.02,14.18,96.7,24.64,3.3,74.07,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.518817,0.399642,0.663677,0.259857,0.375862,0.340502,0.305263,0.372318,0.252146,0.510638,0.398069,0.320755,0.349785,0.220859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32074,王思文,,,23,,,,,,594.7,35682,在场,,81.46,53.48,79.64,47.02,72.35,47.52,69.7,65.73,82.28,57.45,13.41,43.38,47.85,63.91,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.512887,0.35567,0.782609,0.201031,0.358974,0.443299,0.244186,0.375912,0.240876,0.606061,0.284672,0.384615,0.474453,0.169231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32074,王思文,,,23,,,,,,95.3,5718,不在场,,80.13,41.06,94.54,26.82,66.39,87.25,46.19,65.07,84.6,31.79,43.05,26.82,9.77,80.3,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,-0.003244,0.101872,-0.017951,-0.042415,0.027323,-0.059456,-0.059913,-0.001252,0.041587,-0.008051,-0.050834,-0.04575,0.009247,0.011537,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,32074,王思文,,,22,,,,,,720,,差值,,44.7,90.66,40.93,27.11,63.38,20.11,19.03,50.27,25.49,50.63,81.15,70.2,40.57,46.14,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.511928,0.491054,0.639676,0.242545,0.360656,0.266402,0.276119,0.358173,0.266827,0.495495,0.338942,0.241135,0.394231,0.243902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,32074,王思文,,,22,,,,,,288.3,17298,不在场,,82.58,90.82,67.42,21.54,69.66,24.53,63.3,68.16,62.17,71.35,46.25,69.85,28.46,50.56,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.515172,0.389182,0.657627,0.28496,0.333333,0.325858,0.336032,0.359425,0.22524,0.503546,0.389776,0.286885,0.384984,0.232365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,32074,王思文,,,22,,,,,,431.7,25902,在场,,83.9,71.91,72.28,34.08,62.36,44.94,82.02,67.6,77.72,65.36,31.84,53.37,30.71,54.49,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.021794,-0.194271,0.126316,-0.029887,0.025806,0.224159,0.130435,0.104762,0.038096,0.047619,0.069842,-0.125,-0.107936,0.25,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200069,2022-23,2022,32074,王思文,,,21,,,,,,40,,差值,,60,3.33,76.67,40,60,97.78,77.78,21.11,33.33,42.22,20,84.44,90,7.78,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.294521,0.260274,0.526316,0.424658,0.225806,0.315068,0.130435,0.533333,0.466667,0.714286,0.355556,0.375,0.177778,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200069,2022-23,2022,32074,王思文,,,21,,,,,,33.4,2004,不在场,,8.93,75.89,80.36,92.86,75.89,39.29,12.5,16.96,3.57,1.79,11.61,9.82,95.54,50.89,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.272727,0.454545,0.4,0.454545,0.2,0.090909,0,0.428571,0.428571,0.666667,0.285714,0.5,0.285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200069,2022-23,2022,32074,王思文,,,21,,,,,,6.6,396,在场,,6.25,95.54,70.54,95.54,72.32,0,0,47.32,5.36,3.57,20.54,1.79,71.43,100,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,-0.026956,-0.041956,-0.074072,0.027567,0.038361,0.014389,0.006086,0.018188,0.022245,0.090479,-0.031101,0.013492,0.008856,-0.02597,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,88706,孙楷文,,,18,,,,,,690,,差值,,30.95,26.93,20.2,66.62,64.61,59.17,53.01,39.11,36.25,16.48,72.78,41.26,43.27,64.33,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.527981,0.408759,0.705357,0.240876,0.358586,0.350365,0.291667,0.366228,0.24269,0.487952,0.394737,0.322222,0.362573,0.221774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,88706,孙楷文,,,18,,,,,,433.7,26021,在场,,83.77,55.96,87.25,41.72,66.39,52.48,65.4,68.21,84.11,62.58,14.07,43.38,42.22,63.91,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.501025,0.366803,0.631285,0.268443,0.396947,0.364754,0.297753,0.384416,0.264935,0.578431,0.363636,0.335714,0.371429,0.195804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,88706,孙楷文,,,18,,,,,,256.3,15379,不在场,,78.64,44.21,73.68,50.17,75.99,58.44,67.88,62.25,80.46,38.91,21.03,37.91,38.41,72.85,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.026176,0.047549,0.029275,0.027453,0.026887,-0.075001,-0.002823,0.002935,-0.046695,0.000668,0.060545,0.045414,-0.01385,-0.009662,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,32067,高梓悦,,,21,,,,,,690,,差值,,66.62,73.64,61.32,66.48,60.03,16.19,47.42,46.7,75.64,48.42,14.04,30.52,61.75,56.3,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.530827,0.416541,0.693141,0.264662,0.386364,0.318797,0.292453,0.374132,0.229167,0.522727,0.411458,0.345992,0.359375,0.207729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32067,高梓悦,,,21,,,,,,361.7,21702,不在场,,84.44,58.94,85.76,48.18,74.17,40.4,65.73,65.4,85.93,53.48,12.25,37.42,42.55,67.72,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.504651,0.368992,0.663866,0.237209,0.359477,0.393798,0.295276,0.371197,0.275862,0.522059,0.350913,0.300578,0.373225,0.217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32067,高梓悦,,,21,,,,,,328.3,19698,在场,,78.64,44.87,79.64,41.06,66.39,69.87,66.89,66.06,78.64,53.48,23.18,48.18,37.58,65.23,
