_group,_leagueName,_seasonYear,底角三分命中率,有效投篮命中率,leagueEvent,leagueEventId,season,seasonId,year,长中距离命中率,中距离命中率,上场时间(分钟),非底角三分命中率,对手底角三分命中率,对手有效命中率,对手eFG%百分位,对手远中距离命中率,对手中距离命中率,对手中距离命中率百分位排名,对手侧翼三分命中率,对手底角三分比重,对手远中距离比重,对手中距离比重,对手中距离出手占比百分位排名,对手侧翼三分比重,对手篮下比重,对手篮下出手占比百分位排名,对手近距离比重,对手三分比重,对手三分出手占比百分位排名,对手篮下命中率,对手篮下命中率百分位排名,对手近距离命中率,对手三分命中率,对手三分命中率百分位排名,底角三分比重,远中距离比重,中距离比重,侧翼三分比重,篮下比重,篮下近距离比重,三分比重,篮下命中率,上场时间(秒),短中距离命中率,球队eFG%百分位,teamId,球队中距离命中率百分位排名,teamName,球队中距离出手占比百分位排名,球队篮下出手占比百分位排名,球队三分出手占比百分位排名,球队篮下命中率百分位排名,球队三分命中率百分位排名,三分命中率
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,1,CUBAL一级联赛,20005,2024-25,200406,2024,0,1,1.3,0,0,0,,0,0,,0,0,0,0,,0,0,,0,1,,0,,0,0,,0,0,0.5,0,0.5,0,0,1,78,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.552632,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.428571,6.8,0,0,0.5625,,0,0,,0,0,0,0.125,,0,0.25,,0,0.625,,0,,0,0.6,,0,0,0.368421,0,0.210526,0,0.421053,0.75,407,0,,1003320453,,清华大学,,,,,,0.375
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.5,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,1.4,0,0,0,,0,0,,0,0,0,1,,0,0,,0,0,,0,,0,0,,0,0,0.5,0,0.5,0,0,1,84,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.95,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,6.2,0,0,0.382353,,0,0.166667,,0,0,0,0.352941,,0,0.352941,,0,0.294118,,0.666667,,0,0.2,,0,0,0.1,0,0.3,0,0.6,0.666667,372,0,,1003320453,,清华大学,,,,,,0.833333
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.666667,CUBAL一级联赛,20005,2024-25,200406,2024,0,1,1.5,0,0,0,,0,0,,0,0,0,0.333333,,0,0,,0,0.666667,,0,,0,0,,0,0,0.333333,0,0.333333,0,0.333333,1,89,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.5,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.666667,4.6,0,0,0.333333,,0,0.333333,,0,0,0,0.5,,0,0.166667,,0,0.333333,,1,,0,0,,0,0,0.25,0,0.75,0,0,0.444444,276,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.8,CUBAL一级联赛,20005,2024-25,200406,2024,0,1,3.1,0,0,0.25,,0,0,,0,0,0,0.166667,,0,0,,0,0.833333,,0,,0,0.2,,0,0,0.2,0,0.6,0,0.2,1,183,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.5,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,2.3,0,0,0.5,,0,0,,0,0,0,0.2,,0,0.2,,0,0.6,,1,,0,0.333333,,0,0,0,0,0.5,0,0.5,1,136,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.416667,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,4.7,0,0,0.5,,0,0,,0,0,0,0.333333,,0,0,,0,0.666667,,0,,0,0.5,,0,0,0.333333,0,0.333333,0,0.333333,0.5,281,0,,1003320453,,清华大学,,,,,,0.5
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.1875,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,5.3,0,0,0.55,,0,0.2,,0,0,0,0.5,,0,0.3,,0,0.2,,1,,0,0.5,,0,0,0.625,0,0.25,0,0.125,0,315,0,,1003320453,,清华大学,,,,,,1
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,1.8,0,0,1,,0,1,,0,0,0,1,,0,0,,0,0,,0,,0,0,,0,0,0,0,1,0,0,0,108,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.25,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.25,5.3,0,0,0.25,,0,0.666667,,0,0,0,0.375,,0,0.375,,0,0.25,,0,,0,0,,0,0,0.5,0,0.25,0,0.25,0.5,317,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,1.7,0,0,0.5,,0,0,,0,0,0,0,,0,0.333333,,0,0.666667,,0,,0,0.5,,0,0,0,0,0,0,0,0,103,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,1,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,2.5,0,0,0.875,,0,0,,0,0,0,0,,0,0.75,,0,0.25,,0.666667,,0,1,,0,0,0,0,1,0,0,1,150,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,1.1,0,0,0,,0,0,,0,0,0,0.333333,,0,0,,0,0.666667,,0,,0,0,,0,0,1,0,0,0,0,0,63,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,2,0,0,0.25,,0,0,,0,0,0,0.5,,0,0.25,,0,0.25,,1,,0,0,,0,0,0,0,0,0,1,0,120,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,3.9,0,0,0.222222,,0,0.333333,,0,0,0,0.666667,,0,0.222222,,0,0.111111,,0,,0,0,,0,0,0.555556,0,0.111111,0,0.333333,0,235,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,1,0,0,0.75,,0,0,,0,0,0,0,,0,0,,0,1,,0,,0,0.5,,0,0,0,0,0,0,0,0,61,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.875,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,2.1,0,0,1,,0,1,,0,0,0,0.5,,0,0.5,,0,0,,1,,0,0,,0,0,0.25,0,0.5,0,0.25,1,125,0,,1003320453,,清华大学,,,,,,1
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.5,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,1.7,0,0,0.666667,,0,0.5,,0,0,0,0.666667,,0,0.333333,,0,0,,1,,0,0,,0,0,0,0,1,0,0,0.5,103,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,0.3,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,0,,0,0,,0,0,1,0,0,0,0,0,19,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.714286,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.5,4.8,0,0,0.428571,,0,0.5,,0,0,0,0.571429,,0,0.285714,,0,0.142857,,0.5,,0,0,,0,0,0.285714,0,0.714286,0,0,0.8,285,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.2,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.5,2.5,0,0,0.25,,0,1,,0,0,0,0.25,,0,0.25,,0,0.5,,0,,0,0,,0,0,0.4,0,0.2,0,0.4,0,150,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,0,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,1,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,0.6,0,0,0,,0,0,,0,0,0,0.5,,0,0,,0,0.5,,0,,0,0,,0,0,0,0,0,0,0,0,35,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.608696,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.375,13.9,0,0,0.526316,,0,0.583333,,0,0,0,0.631579,,0,0.157895,,0,0.210526,,1,,0,0,,0,0,0.347826,0,0.26087,0,0.391304,0.833333,834,0,,1003320453,,清华大学,,,,,,0.444444
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,2,0,0,0.25,,0,0.333333,,0,0,0,0.75,,0,0,,0,0.25,,0,,0,0,,0,0,0,0,0,0,1,0,122,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.5,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,0.6,0,0,0,,0,0,,0,0,0,1,,0,0,,0,0,,0,,0,0,,0,0,0.5,0,0.5,0,0,1,36,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.625,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,2.9,0,0,0.8,,0,1,,0,0,0,0.8,,0,0,,0,0.2,,0,,0,0,,0,0,0.25,0,0.25,0,0.5,1,172,0,,1003320453,,清华大学,,,,,,0.5
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.5,CUBAL一级联赛,20005,2024-25,200406,2024,0,1,2.1,0,0,0.5,,0,0,,0,0,0,0.4,,0,0.2,,0,0.4,,1,,0,0.5,,0,0,0.5,0,0.5,0,0,0,126,0,,1003320453,,清华大学,,,,,,0
