vid,gameMode,leagueId,leagueName,seasonId,season,eventId,videoCount,totalVideoDuration,stageName,scheduleId,teamId,playerId,number,playerName,teamName,opponentId,对手,result,videoUrl,videoTime,打法类型,scheduleTime,date,时间段,gameClock,gameClockTime,pbpName,pbpType,relatedEventList,shotZone,distance,shotDistance,shotX,shotY,labelKey,labelName,eventTime,quarter,madeMissed,score,ftScore,isHome,fgdMm,rpResult,videoType,_group
,,,,,,,,00:00,,200050010977,1003320453,80514,,,,,,投篮,,,,,,全场,,,,2Pm,,,,,0.313,0.218,,,,4,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,40730,,,,,,投篮,,,,,,全场,,,,3Pm,,,,,0.713,0.618,,,,4,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,32064,,,,,,投篮,,,,,,全场,,,,2PM,,,,,0.508,0.183,,,,4,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,40730,,,,,,投篮,,,,,,全场,,,,3Pm,,,,,0.709,0.618,,,,4,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,32064,,,,,,投篮,,,,,,全场,,,,3Pm,,,,,0.035,0.151,,,,4,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,40730,,,,,,投篮,,,,,,全场,,,,2PM,,,,,0.386,0.116,,,,4,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,40730,,,,,,投篮,,,,,,全场,,,,2Pm,,,,,0.426,0.134,,,,4,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,32064,,,,,,投篮,,,,,,全场,,,,3Pm,,,,,0.174,0.496,,,,4,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,80514,,,,,,投篮,,,,,,全场,,,,3Pm,,,,,0.803,0.562,,,,4,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320449,32005,,,,,,投篮,,,,,,全场,,,,2Pm,,,,,0.477,0.262,,,,1,,,,,,,,awayShoots
,,,,,,,,00:00,,200050010977,1003320449,32001,,,,,,投篮,,,,,,全场,,,,3Pm,,,,,0.962,0.248,,,,2,,,,,,,,awayShoots
,,,,,,,,00:00,,200050010977,1003320449,32005,,,,,,投篮,,,,,,全场,,,,2Pm,,,,,0.606,0.199,,,,2,,,,,,,,awayShoots
,,,,,,,,00:00,,200050010977,1003320449,30230,,,,,,投篮,,,,,,全场,,,,2Pm,,,,,0.685,0.221,,,,2,,,,,,,,awayShoots
,,,,,,,,00:00,,200050010977,1003320449,32005,,,,,,投篮,,,,,,全场,,,,3Pm,,,,,0.537,0.623,,,,3,,,,,,,,awayShoots
,,,,,,,,00:00,,200050010977,1003320449,80550,,,,,,投篮,,,,,,全场,,,,2Pm,,,,,0.486,0.183,,,,1,,,,,,,,awayShoots
,,,,,,,,00:00,,200050010977,1003320449,32005,,,,,,投篮,,,,,,全场,,,,2Pm,,,,,0.564,0.143,,,,1,,,,,,,,awayShoots
,,,,,,,,00:00,,200050010977,1003320449,80550,,,,,,投篮,,,,,,全场,,,,2PM,,,,,0.547,0.132,,,,1,,,,,,,,awayShoots
,,,,,,,,00:00,,200050010977,1003320449,32005,,,,,,投篮,,,,,,全场,,,,3Pm,,,,,0.055,0.241,,,,1,,,,,,,,awayShoots
,,,,,,,,00:00,,200050010977,1003320449,30097,,,,,,投篮,,,,,,全场,,,,3Pm,,,,,0.941,0.311,,,,1,,,,,,,,awayShoots
,,,,,,,,00:00,,200050010977,1003320449,32013,,,,,,投篮,,,,,,全场,,,,2Pm,,,,,0.565,0.143,,,,1,,,,,,,,awayShoots
,,,,,,,,00:00,,200050010977,1003320449,32013,,,,,,投篮,,,,,,全场,,,,2PM,,,,,0.543,0.139,,,,1,,,,,,,,awayShoots
,,,,,,,,00:00,,200050010977,1003320449,32005,,,,,,投篮,,,,,,全场,,,,2Pm,,,,,0.644,0.122,,,,1,,,,,,,,awayShoots
,,,,,,,,00:00,,200050010977,1003320449,32005,,,,,,投篮,,,,,,全场,,,,2Pm,,,,,0.247,0.129,,,,1,,,,,,,,awayShoots
,,,,,,,,00:00,,200050010977,1003320449,80550,,,,,,投篮,,,,,,全场,,,,2PM,,,,,0.758,0.183,,,,1,,,,,,,,awayShoots
,,,,,,,,00:00,,200050010977,1003320449,80550,,,,,,投篮,,,,,,全场,,,,3Pm,,,,,0.286,0.588,,,,1,,,,,,,,awayShoots
,,,,,,,,00:00,,200050010977,1003320449,30230,,,,,,投篮,,,,,,全场,,,,2Pm,,,,,0.547,0.168,,,,1,,,,,,,,awayShoots
,,,,,,,,00:00,,200050010977,1003320449,80546,,,,,,投篮,,,,,,全场,,,,2Pm,,,,,0.786,0.174,,,,1,,,,,,,,awayShoots
,,,,,,,,00:00,,200050010977,1003320449,80550,,,,,,投篮,,,,,,全场,,,,3Pm,,,,,0.188,0.497,,,,1,,,,,,,,awayShoots
,,,,,,,,00:00,,200050010977,1003320449,80550,,,,,,投篮,,,,,,全场,,,,3Pm,,,,,0.15,0.471,,,,1,,,,,,,,awayShoots
,,,,,,,,00:00,,200050010977,1003320449,80548,,,,,,投篮,,,,,,全场,,,,2Pm,,,,,0.465,0.403,,,,1,,,,,,,,awayShoots
,,,,,,,,00:00,,200050010977,1003320449,32005,,,,,,投篮,,,,,,全场,,,,2Pm,,,,,0.608,0.237,,,,1,,,,,,,,awayShoots
,,,,,,,,00:00,,200050010977,1003320449,80546,,,,,,投篮,,,,,,全场,,,,3PM,,,,,0.957,0.179,,,,1,,,,,,,,awayShoots
,,,,,,,,00:00,,200050010977,1003320449,32005,,,,,,投篮,,,,,,全场,,,,2Pm,,,,,0.303,0.211,,,,1,,,,,,,,awayShoots
,,,,,,,,00:00,,200050010977,1003320449,31999,,,,,,投篮,,,,,,全场,,,,2PM,,,,,0.563,0.136,,,,1,,,,,,,,awayShoots
