_group,_leagueName,teamId,teamName,有效投篮命中率,篮下比重,篮下命中率,中距离比重,中距离命中率,三分比重,三分命中率,对手有效命中率,对手篮下比重,对手篮下命中率,对手中距离比重,对手中距离命中率,对手三分比重,对手三分命中率,篮下近距离比重,短中距离命中率,远中距离比重,长中距离命中率,底角三分比重,底角三分命中率,侧翼三分比重,非底角三分命中率,对手近距离比重,对手近距离命中率,对手远中距离比重,对手远中距离命中率,对手底角三分比重,对手底角三分命中率,对手侧翼三分比重,对手侧翼三分命中率,leagueEventId,leagueEvent,seasonId,season,year,playerId,playerName,playerEnName,number,age,sex,position,height,weight,positionCn,上场时间(分钟),上场时间(秒),onOff,球队比赛场次,球队eFG%百分位,球队篮下出手占比百分位排名,球队篮下命中率百分位排名,球队中距离出手占比百分位排名,球队中距离命中率百分位排名,球队三分出手占比百分位排名,球队三分命中率百分位排名,对手eFG%百分位,对手篮下出手占比百分位排名,对手篮下命中率百分位排名,对手中距离出手占比百分位排名,对手中距离命中率百分位排名,对手三分出手占比百分位排名,对手三分命中率百分位排名,位置筛选(全部/按位置),_playerName
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.562963,0.459259,0.725806,0.217284,0.375,0.323457,0.305344,0.350746,0.253731,0.470588,0.367164,0.300813,1,0.080597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32066,袁欣悦,,,21,,总和,,,,221.5,13288,,,,,,,,,,,,,,,,,true,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.577044,0.45283,0.75,0.226415,0.402778,0.320755,0.303922,0.319106,0.247967,0.393443,0.369919,0.285714,0.382114,0.202128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32066,袁欣悦,,,21,,SF,,,小前锋,0.754,10014,,,92.38,69.54,91.56,37.25,79.3,41.56,69.21,84.6,83.44,84.44,19.54,56.46,34.6,68.71,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.524096,0.493976,0.634146,0.168675,0.285714,0.337349,0.321429,0.453488,0.27907,0.666667,0.337209,0.37931,0.383721,0.242424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32066,袁欣悦,,,21,,PF,,,大前锋,0.236,3134,,,82.62,83.11,74.5,16.39,43.54,46.52,74.01,35.26,77.98,18.87,27.48,27.65,33.94,54.14,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.5,0.5,1,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32066,袁欣悦,,,21,,SG,,,得分后卫,0.006,84,,,,,,,,,,,,,,,,,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0,0,0,0.5,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32066,袁欣悦,,,21,,C,,,中锋,0.004,56,,,,,,,,,,,,,,,,,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.497972,0.484787,0.589958,0.275862,0.338235,0.239351,0.330508,0.401961,0.218137,0.516854,0.362745,0.27027,1,0.127451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,32066,袁欣悦,,,20,,总和,,,,292.5,17549,,,,,,,,,,,,,,,,,true,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.502336,0.478972,0.6,0.285047,0.336066,0.235981,0.336634,0.427171,0.215686,0.532468,0.378151,0.281481,0.406162,0.337931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,32066,袁欣悦,,,20,,SF,,,小前锋,0.875,15359,,,80.34,90.45,59.18,34.08,64.23,15.17,82.02,41.95,80.34,60.3,35.77,56.37,24.53,17.98,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.469231,0.523077,0.529412,0.215385,0.357143,0.261538,0.294118,0.22549,0.235294,0.416667,0.254902,0.153846,0.509804,0.115385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,32066,袁欣悦,,,20,,PF,,,大前锋,0.125,2190,,,71.16,94.19,38.76,14.98,68.54,22.1,69.29,97.75,74.16,83.33,75.28,89.51,5.43,89.51,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.217949,0.282051,0.454545,0.435897,0.117647,0.282051,0.090909,0.388889,0.259259,0.571429,0.481481,0.384615,1,0.037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200069,2022-23,2022,32066,袁欣悦,,,19,,总和,,,,19.1,1148,,,,,,,,,,,,,,,,,true,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.21875,0.1875,0.666667,0.25,0,0.5625,0.111111,0.5,0.384615,0.6,0.461538,0.333333,0.153846,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200069,2022-23,2022,32066,袁欣悦,,,19,,PF,,,大前锋,0.429,492,,,,,,,,,,,,,,,,,false,
